structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse,ng_fit,sigma_ng_fit,neff_estimated,sigma_neff_estimated
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,65,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1523.10548297,0.00157358770634,196.829741178,0.00020335351978,0.161225024383,0.00569924588148,9447.07863312,333.950788476,-0.00137179357358,16.4058740015,-0.0106966299296,0.830894067838,0.863574889709,0.00157826501323,5.35633282124,0.189597298738,13.1179983631,0.5726566095,2.78250095875,0.00993633737711
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,3,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1523.96905786,0.000121417389364,196.718205303,1.56728975598e-05,0.00947967819319,0.000334924845119,160761.686927,5679.84292273,-0.000233503176956,10.7559823366,-0.0069882296377,0.841511769997,0.431787444855,0.000793789143422,45.5487450159,1.61145176381,13.1179983631,0.5726566095,2.7766409076,0.00961728455879
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,66,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1523.96905786,0.000121417389364,196.718205303,1.56728975598e-05,0.00947967819319,0.000334924845119,160761.686927,5679.84292273,-0.000233503176956,10.7559823366,-0.0069882296377,0.841511769997,0.415674589394,0.000814189726841,43.8490190197,1.55160094849,13.1179983631,0.5726566095,2.7766409076,0.00961728455879
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,4,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1524.80040704,0.00161474242462,196.610950925,0.000208208262627,0.19134909621,0.00611877197789,7968.68361149,254.814676292,-0.00183467080876,-6.61521581711,0.00440766893329,0.828006241336,0.415674589394,0.0013997251048,2.17233630901,0.0698489151195,13.1179983631,0.5726566095,2.77099953386,0.00931013771877
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,67,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1524.80040704,0.00161474242462,196.610950925,0.000208208262627,0.19134909621,0.00611877197789,7968.68361149,254.814676292,-0.00183467080876,-6.61521581711,0.00440766893329,0.828006241336,6.66031006258,0.00157886911659,34.8071153431,1.11305806234,13.1179983631,0.5726566095,2.77099953386,0.00931013771877
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,13,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1538.12102717,0.0014659916288,194.908237196,0.000185768115166,0.222193600984,0.0058160270651,6922.43620139,181.198181011,-0.00267390490299,13.4068905083,-0.00864192136137,0.892246772555,6.66031006258,0.00150455869485,29.9752559619,0.784646323615,13.1179983631,0.5726566095,2.68060839794,0.00438875632695
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,76,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1538.12102717,0.0014659916288,194.908237196,0.000185768115166,0.222193600984,0.0058160270651,6922.43620139,181.198181011,-0.00267390490299,13.4068905083,-0.00864192136137,0.892246772555,0.307714085301,0.00127229426123,1.38489175178,0.0366996805989,13.1179983631,0.5726566095,2.68060839794,0.00438875632695
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,14,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1538.73645534,0.000165940897751,194.830282314,2.10109481998e-05,0.0120004295845,0.000492179648248,128223.447711,5258.89268771,-0.000498788292555,-28.2365859418,0.0184245453,0.885728790328,0.307714085301,0.000746950567364,25.641922494,1.05350541156,13.1179983631,0.5726566095,2.67643222214,0.00416138277239
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,77,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1538.73645534,0.000165940897751,194.830282314,2.10109481998e-05,0.0120004295845,0.000492179648248,128223.447711,5258.89268771,-0.000498788292555,-28.2365859418,0.0184245453,0.885728790328,0.535702416206,0.000618799843785,44.640269953,1.83157982209,13.1179983631,0.5726566095,2.67643222214,0.00416138277239
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,15,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1539.80786017,0.00120376236942,194.694718578,0.000152204818414,0.150854380118,0.00428094332688,10207.2466107,289.661090691,-0.0014497267712,6.49686385198,-0.00413896925739,0.852225393357,0.535702416206,0.00104578533979,3.55112271706,0.101011872628,13.1179983631,0.5726566095,2.66916187745,0.0037655459603
