structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair,ng_fit,sigma_ng_fit
mple 76 Diameter 100 um Coupling Distance 0.09,5039,24,78,1560.69834827,1560.69834827,1560.69834827,7.01670270119e-05,192.088662317,0,0.000140334054024,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,78,25,1560.69834827,1562.60207511,1561.65021169,6.24518839975e-05,191.97157965,1.90372683954,0.000124903767995,12.8104060574,0.000840493048576,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,25,79,1562.60207511,1562.60207511,1562.60207511,5.36382694539e-05,191.854639626,0,0.000107276538908,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,79,28,1562.60207511,1568.35258139,1565.47732825,6.57264184841e-05,191.502267449,5.75050627931,0.000131452836968,4.26174522075,9.74213838019e-05,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,28,82,1568.35258139,1568.35258139,1568.35258139,7.5913504882e-05,191.151187276,0,0.000151827009764,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,82,29,1568.35258139,1570.27272689,1569.31265414,6.40841210192e-05,191.034244966,1.92014549487,0.000128168242038,12.8258104036,0.000856113667969,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,29,83,1570.27272689,1570.27272689,1570.27272689,4.95044332371e-05,190.917445655,0,9.90088664742e-05,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,83,31,1570.27272689,1574.13284128,1572.20278409,6.39681561532e-05,190.683072842,3.86011439454,0.000127936312306,6.40349311352,0.00021223250928,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,31,85,1574.13284128,1574.13284128,1574.13284128,7.57176405677e-05,190.449274761,0,0.000151435281135,,,9.08623275228,4.02691953895
mple 76 Diameter 100 um Coupling Distance 0.09,5039,85,34,1574.13284128,1579.95958484,1577.04621306,7.60314236318e-05,190.097446427,5.82674356142,0.000152062847264,4.26837860963,0.000111394336799,9.08623275228,4.02691953895
