structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse,ng_fit,sigma_ng_fit,neff_estimated,sigma_neff_estimated
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,51,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1521.92765155,8.27304186873e-05,196.982069216,1.0707742279e-05,0.00251562809745,0.000215869185718,604989.128995,51914.8719865,-4.95014850176e-05,-21.1372881329,0.013992661786,0.810428307251,3.53450300374,9.56301697376e-05,1405.01809759,120.566361948,3.9679797188,1.91595223213e-05,2.62477574409,3.47001797864e-07
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,2,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1525.46215456,4.79667300101e-05,196.525660833,6.17956550746e-06,0.00376259753271,0.000129890776019,405427.936763,13996.0091049,-0.000135690673363,-10.4572447301,0.00695784466979,0.850793987067,7.27308420338,6.01323759092e-05,1932.99552773,66.7300433162,3.9679797188,1.91595223213e-05,2.62165630639,3.03311869351e-07
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,59,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1536.47381996,5.4933359428e-05,195.117192435,6.97600097273e-06,0.0039208370856,0.00015091923626,391873.925495,15083.8487432,-0.000126452803997,8.52790428676,-0.0054534800663,0.80848141047,6.4295065,5.14942357643e-05,1639.8300566,63.119660341,3.9679797188,1.91595223213e-05,2.61193776772,1.67196869943e-07
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,9,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1538.32116756,4.76494504043e-05,194.882879026,6.03649112724e-06,0.00347551859386,0.000129921971403,442616.296248,16545.8996207,-0.000122351033302,-16.0646985605,0.0105361322505,0.88042267921,0.923673798486,4.95708693427e-05,265.765747914,9.9348757749,3.9679797188,1.91595223213e-05,2.61030735866,1.44361839285e-07
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,60,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1538.32116756,4.76494504043e-05,194.882879026,6.03649112724e-06,0.00347551859386,0.000129921971403,442616.296248,16545.8996207,-0.000122351033302,-16.0646985605,0.0105361322505,0.88042267921,0.931062896915,4.81046835442e-05,267.891789893,10.0143508857,3.9679797188,1.91595223213e-05,2.61030735866,1.44361839285e-07
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,10,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1540.18329335,4.94452418746e-05,194.647260034,6.24885420725e-06,0.00337071809174,0.00013345886759,456930.319129,18091.5167922,-0.00010482403429,20.3941622329,-0.0131466467265,0.901533767021,0.931062896915,4.90024641114e-05,276.220933218,10.9365911113,3.9679797188,1.91595223213e-05,2.60866390684,1.213441356e-07
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,61,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1540.18329335,4.94452418746e-05,194.647260034,6.24885420725e-06,0.00337071809174,0.00013345886759,456930.319129,18091.5167922,-0.00010482403429,20.3941622329,-0.0131466467265,0.901533767021,1.86181449887,5.11562124609e-05,552.349513724,21.8695115875,3.9679797188,1.91595223213e-05,2.60866390684,1.213441356e-07
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,12,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1543.90692235,5.59762133522e-05,194.17780545,7.04015126092e-06,0.00353499959812,0.000153991013822,436748.825422,19025.5734252,-0.000131679934813,18.6552710576,-0.0119961513019,0.864609281094,11.29342046,5.45917710151e-05,3194.74448202,139.168882785,3.9679797188,1.91595223213e-05,2.60537755268,7.53164240524e-08
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,73,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1562.77013427,5.66528109075e-05,191.834007719,6.95427659294e-06,0.00388559941075,0.000161709591749,402195.380704,16738.4343937,-0.000158481371795,-5.46849922113,0.0035747360646,0.806172854508,10.3876106989,5.61716667208e-05,2673.36119883,111.259063535,3.9679797188,1.91595223213e-05,2.58872949375,1.57851401675e-07
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,23,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1564.68214375,5.53950010387e-05,191.599590497,6.78326876614e-06,0.0033218076952,0.000180599904226,471033.33104,25609.1207796,-0.000156880800877,13.5567084704,-0.00859107144334,0.829051477078,1.91200947551,7.9234759568e-05,575.593065868,31.2938292354,3.9679797188,1.91595223213e-05,2.58704201621,1.81485716658e-07
