structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse,ng_fit,sigma_ng_fit,neff_estimated,sigma_neff_estimated
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,94,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1557.51197811,0.000172835460068,192.481638802,2.13594842702e-05,0.0139875558374,0.000557647825428,111349.830965,4439.23097224,-0.000712401488344,-1.96462832503,0.00133996157666,0.851259769685,6.68698653829,0.00016578719941,478.066834264,19.0592970769,13.0735516039,0.559509563674,2.54924058687,0.00271162812434
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,37,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1570.88595118,0.000142566802525,190.84291751,1.73200763006e-05,0.0120278157426,0.000398660359265,130604.424345,4328.8663416,-0.000376498605053,-2.02112108167,0.00135931092981,0.831071086009,6.68698653829,0.000150704989801,555.960174432,18.4272305842,13.0735516039,0.559509563674,2.45887091128,0.00753928350541
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,102,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1570.88595118,0.000142566802525,190.84291751,1.73200763006e-05,0.0120278157426,0.000398660359265,130604.424345,4328.8663416,-0.000376498605053,-2.02112108167,0.00135931092981,0.831071086009,5.83143274232,0.00013722831727,484.828905524,16.0695938905,13.0735516039,0.559509563674,2.45887091128,0.00753928350541
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,45,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1582.54881667,0.00011979384248,189.436467831,1.43397297753e-05,0.00949751762091,0.000236542644527,166627.626274,4149.98328443,-0.000757338204683,-7.72346200203,0.00495537120848,0.883655373533,5.83143274232,0.00012587393224,613.995464402,15.2920132629,13.0735516039,0.559509563674,2.38006341225,0.0117492736851
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,110,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1582.54881667,0.00011979384248,189.436467831,1.43397297753e-05,0.00949751762091,0.000236542644527,166627.626274,4149.98328443,-0.000757338204683,-7.72346200203,0.00495537120848,0.883655373533,1.96217958536,0.000220296689996,206.599204516,5.14555704703,13.0735516039,0.559509563674,2.38006341225,0.0117492736851
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,47,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1586.47317584,0.000388678314811,188.967870725,4.62962214964e-05,0.0186414606159,0.00110928080186,85104.5531534,5064.24088273,-0.000207575055721,-20.7845861256,0.0131772311528,0.806250817985,1.96217958536,0.00034189291522,105.258897132,6.26357433955,13.0735516039,0.559509563674,2.3535460069,0.0131658649672
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,112,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1586.47317584,0.000388678314811,188.967870725,4.62962214964e-05,0.0186414606159,0.00110928080186,85104.5531534,5064.24088273,-0.000207575055721,-20.7845861256,0.0131772311528,0.806250817985,2.95798697731,0.000340956393317,158.67785461,9.44231955052,13.0735516039,0.559509563674,2.3535460069,0.0131658649672
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,50,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1592.38914979,0.000108593514364,188.265825624,1.28388513837e-05,0.00718398699297,0.000461304125225,221658.133757,14233.295744,-0.000426913099895,5.14598400814,-0.0031598194493,0.8356383969,2.95798697731,0.00021589840579,411.747262378,26.439473453,13.0735516039,0.559509563674,2.31357100142,0.0153013772292
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,115,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1592.38914979,0.000108593514364,188.265825624,1.28388513837e-05,0.00718398699297,0.000461304125225,221658.133757,14233.295744,-0.000426913099895,5.14598400814,-0.0031598194493,0.8356383969,0.996109926373,0.00010859067846,138.656977991,8.90356958871,13.0735516039,0.559509563674,2.31357100142,0.0153013772292
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,51,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1594.38136965,0.000108582170303,188.030582712,1.28054486479e-05,0.0100976315484,0.000184173957056,157896.56832,2879.92641184,-0.00102583587566,-1.25770352872,0.000866665188413,0.803024399597,0.996109926373,0.000108585006429,98.6478781286,1.79930258542,13.0735516039,0.559509563674,2.30010931275,0.0160205166231
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,116,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1594.38136965,0.000108582170303,188.030582712,1.28054486479e-05,0.0100976315484,0.000184173957056,157896.56832,2879.92641184,-0.00102583587566,-1.25770352872,0.000866665188413,0.803024399597,0.993294384427,0.000141879682133,98.3690462132,1.79423976289,13.0735516039,0.559509563674,2.30010931275,0.0160205166231
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,52,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1596.36795841,0.000212483208008,187.796589389,2.4996506323e-05,0.0133683109449,0.000572847257426,119414.334765,5117.03942629,-0.000898526770015,4.94391320536,-0.00302876599052,0.849917373718,0.993294384427,0.000191857648247,74.3021604243,3.18396403221,13.0735516039,0.559509563674,2.28668567405,0.0167376233426
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,117,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1596.36795841,0.000212483208008,187.796589389,2.4996506323e-05,0.0133683109449,0.000572847257426,119414.334765,5117.03942629,-0.000898526770015,4.94391320536,-0.00302876599052,0.849917373718,0.994594265612,0.000212443304343,74.3993964319,3.18813796676,13.0735516039,0.559509563674,2.28668567405,0.0167376233426
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,53,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1598.35714695,0.000212323548352,187.562872649,2.49155920728e-05,0.0168152109985,0.000593199168371,95054.2426789,3353.27922515,-0.000467983148758,-8.24333348622,0.00523588372159,0.80826117079,0.994594265612,0.000212363474519,59.1484856004,2.08665089793,13.0735516039,0.559509563674,2.27324446842,0.0174556685085
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,118,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1598.35714695,0.000212323548352,187.562872649,2.49155920728e-05,0.0168152109985,0.000593199168371,95054.2426789,3353.27922515,-0.000467983148758,-8.24333348622,0.00523588372159,0.80826117079,10.0990801938,0.000208675971139,600.591939924,21.1874058814,13.0735516039,0.559509563674,2.27324446842,0.0174556685085
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,64,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041/mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT_5041_ParamFile.txt,False,1618.55530733,0.000197329106236,185.222251375,2.25817067562e-05,0.0171467869971,0.000372681510998,94394.0872192,2051.63399187,-0.00142463891745,4.43644193362,-0.00266640325626,0.898828776113,20.1981603876,0.000289862148879,1177.95598622,25.6026107166,13.0735516039,0.559509563674,2.13676287156,0.0247466774798
