structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse,ng_fit,sigma_ng_fit,neff_estimated,sigma_neff_estimated
mple 76 Diameter 100 um Coupling Distance 0.09,5039,72,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1549.35301812,9.28880192523e-05,193.495255435,1.16005783071e-05,0.00707189241836,0.00015270820115,219086.055961,4730.87478198,-0.000641470429034,12.4251277761,-0.00794613867226,0.841554291451,0.93883983766,8.78259815846e-05,132.756521468,2.86672910479,9.08623275228,4.02691953895,2.60270740327,0.00168086708474
mple 76 Diameter 100 um Coupling Distance 0.09,5039,19,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1551.23069779,7.04915583838e-05,193.261040042,8.78223458753e-06,0.00662970480058,0.000236944103349,233981.865627,8362.45730669,-0.000370339377355,-8.35303970326,0.00546608648239,0.903865055204,0.93883983766,7.67061984632e-05,141.611107267,5.06116117114,9.08623275228,4.02691953895,2.59484994043,0.00319736838135
mple 76 Diameter 100 um Coupling Distance 0.09,5039,73,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1551.23069779,7.04915583838e-05,193.261040042,8.78223458753e-06,0.00662970480058,0.000236944103349,233981.865627,8362.45730669,-0.000370339377355,-8.35303970326,0.00546608648239,0.903865055204,0.940764696948,7.3470127514e-05,141.901445878,5.07153668826,9.08623275228,4.02691953895,2.59484994043,0.00319736838135
mple 76 Diameter 100 um Coupling Distance 0.09,5039,20,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1553.11222719,8.17573185568e-05,193.026912513,1.01611219718e-05,0.00605525553238,0.000339290050889,256489.95635,14371.7288027,-0.000357434969117,18.2146108349,-0.0116581691576,0.906546917969,0.940764696948,7.90914616381e-05,155.363335522,8.70537883471,9.08623275228,4.02691953895,2.5869763678,0.00808560546484
mple 76 Diameter 100 um Coupling Distance 0.09,5039,74,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1553.11222719,8.17573185568e-05,193.026912513,1.01611219718e-05,0.00605525553238,0.000339290050889,256489.95635,14371.7288027,-0.000357434969117,18.2146108349,-0.0116581691576,0.906546917969,0.944191479546,7.84678106401e-05,155.929254265,8.73708838916,9.08623275228,4.02691953895,2.5869763678,0.00808560546484
mple 76 Diameter 100 um Coupling Distance 0.09,5039,21,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1555.00061015,6.76462254215e-05,192.792501845,8.38693242579e-06,0.00557050989647,0.000283825545944,279148.702551,14223.0306334,-0.000353484156006,-10.1737403164,0.0066184817013,0.90204154657,0.944191479546,7.14358008616e-05,169.498214184,8.63618898613,9.08623275228,4.02691953895,2.57907411528,0.0129916481971
mple 76 Diameter 100 um Coupling Distance 0.09,5039,75,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1555.00061015,6.76462254215e-05,192.792501845,8.38693242579e-06,0.00557050989647,0.000283825545944,279148.702551,14223.0306334,-0.000353484156006,-10.1737403164,0.0066184817013,0.90204154657,2.84886906414,7.67705327595e-05,511.419801254,26.0575831112,9.08623275228,4.02691953895,2.57907411528,0.0129916481971
mple 76 Diameter 100 um Coupling Distance 0.09,5039,24,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1560.69834827,9.92311612316e-05,192.088662317,1.22132384148e-05,0.00688740026539,0.000274953274646,226601.952571,9046.22157851,-0.000437455116111,-8.19020204097,0.00531390365772,0.876381557485,2.84886906414,9.23532374796e-05,413.634891885,16.51280616,9.08623275228,4.02691953895,2.5552309826,0.0277944436788
mple 76 Diameter 100 um Coupling Distance 0.09,5039,78,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1560.69834827,9.92311612316e-05,192.088662317,1.22132384148e-05,0.00688740026539,0.000274953274646,226601.952571,9046.22157851,-0.000437455116111,-8.19020204097,0.00531390365772,0.876381557485,0.951863419772,9.39342828499e-05,138.203586708,5.51726970568,9.08623275228,4.02691953895,2.5552309826,0.0277944436788
mple 76 Diameter 100 um Coupling Distance 0.09,5039,25,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1562.60207511,7.58559681239e-05,191.854639626,9.3135159998e-06,0.00718373878838,0.000198643695724,217519.333754,6014.81284626,-0.000541284847085,5.45861173906,-0.00341589212664,0.92629470783,0.951863419772,8.23243692041e-05,132.502509879,3.66395797152,9.08623275228,4.02691953895,2.54726452106,0.0327403500059
mple 76 Diameter 100 um Coupling Distance 0.09,5039,79,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1562.60207511,7.58559681239e-05,191.854639626,9.3135159998e-06,0.00718373878838,0.000198643695724,217519.333754,6014.81284626,-0.000541284847085,5.45861173906,-0.00341589212664,0.92629470783,2.87525313966,8.48352876859e-05,400.244667068,11.0675133747,9.08623275228,4.02691953895,2.54726452106,0.0327403500059
mple 76 Diameter 100 um Coupling Distance 0.09,5039,28,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1568.35258139,0.000107357908171,191.151187276,1.30848074941e-05,0.00744200998423,0.000345044615027,210743.143951,9770.98755962,-0.000465265421447,-1.09213308869,0.000763409200151,0.86383140772,2.87525313966,0.000100413257642,386.354378152,17.913108928,9.08623275228,4.02691953895,2.52320057127,0.0476802378091
mple 76 Diameter 100 um Coupling Distance 0.09,5039,82,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1568.35258139,0.000107357908171,191.151187276,1.30848074941e-05,0.00744200998423,0.000345044615027,210743.143951,9770.98755962,-0.000465265421447,-1.09213308869,0.000763409200151,0.86383140772,0.960072747436,9.93460356042e-05,129.007183472,5.98136053471,9.08623275228,4.02691953895,2.52320057127,0.0476802378091
mple 76 Diameter 100 um Coupling Distance 0.09,5039,29,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1570.27272689,7.00098408815e-05,190.917445655,8.51196086067e-06,0.0080006406316,0.000131572475792,196268.373896,3227.68101486,-0.000778955567887,10.0254207867,-0.00631425819649,0.871440769214,0.960072747436,8.09781666681e-05,119.999483997,1.97344657672,9.08623275228,4.02691953895,2.51516540315,0.0526688000097
mple 76 Diameter 100 um Coupling Distance 0.09,5039,83,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1570.27272689,7.00098408815e-05,190.917445655,8.51196086067e-06,0.0080006406316,0.000131572475792,196268.373896,3227.68101486,-0.000778955567887,10.0254207867,-0.00631425819649,0.871440769214,1.93005719727,8.08864260044e-05,241.237831587,3.96722753626,9.08623275228,4.02691953895,2.51516540315,0.0526688000097
mple 76 Diameter 100 um Coupling Distance 0.09,5039,31,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1574.13284128,0.000107080914202,190.449274761,1.29553757571e-05,0.00784986211595,0.000179276361819,200529.998875,4579.73504542,-0.000649209142468,2.90560250458,-0.00177448773528,0.848634697625,1.93005719727,9.91215722978e-05,245.871477583,5.61526492742,9.08623275228,4.02691953895,2.49901211256,0.0626974258665
mple 76 Diameter 100 um Coupling Distance 0.09,5039,85,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1574.13284128,0.000107080914202,190.449274761,1.29553757571e-05,0.00784986211595,0.000179276361819,200529.998875,4579.73504542,-0.000649209142468,2.90560250458,-0.00177448773528,0.848634697625,2.91337178071,0.000107303021731,371.136682107,8.47608781492,9.08623275228,4.02691953895,2.49901211256,0.0626974258665
mple 76 Diameter 100 um Coupling Distance 0.09,5039,34,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1579.95958484,0.000107966602853,189.746915602,1.29663632386e-05,0.00872593526035,0.000352339241617,181064.784198,7311.10498127,-0.000401426084389,-9.20378295817,0.00589374979154,0.868933201049,2.91337178071,0.00010774586324,333.875016693,13.4813422298,9.08623275228,4.02691953895,2.47462913519,0.0778353790897
mple 76 Diameter 100 um Coupling Distance 0.09,5039,88,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1579.95958484,0.000107966602853,189.746915602,1.29663632386e-05,0.00872593526035,0.000352339241617,181064.784198,7311.10498127,-0.000401426084389,-9.20378295817,0.00589374979154,0.868933201049,1.95441495438,0.000108840740085,223.977705091,9.04386835938,9.08623275228,4.02691953895,2.47462913519,0.0778353790897
mple 76 Diameter 100 um Coupling Distance 0.09,5039,36,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1583.86841475,0.000111422012252,189.278639063,1.33153781238e-05,0.00942509502656,0.000198437848526,168048.004852,3538.11653232,-0.000843075572233,-3.98574321918,0.00258225842074,0.804245591011,1.95441495438,0.000110568284076,207.362891183,4.36587582675,9.08623275228,4.02691953895,2.45827198643,0.0879905684665
mple 76 Diameter 100 um Coupling Distance 0.09,5039,90,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1583.86841475,0.000111422012252,189.278639063,1.33153781238e-05,0.00942509502656,0.000198437848526,168048.004852,3538.11653232,-0.000843075572233,-3.98574321918,0.00258225842074,0.804245591011,1.96850545264,0.000126497620112,208.857889187,4.39735653658,9.08623275228,4.02691953895,2.45827198643,0.0879905684665
mple 76 Diameter 100 um Coupling Distance 0.09,5039,38,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09_5039/mple 76 Diameter 100 um Coupling Distance 0.09_5039_ParamFile.txt,False,1587.80542566,0.000163590944533,188.809317033,1.94529468227e-05,0.0115451561586,0.000677780759521,137530.00859,8073.96560068,-0.000703728144777,-2.56789654038,0.00168741140321,0.863002910344,1.96850545264,0.000152234076519,170.504878894,10.0098279314,9.08623275228,4.02691953895,2.4417969096,0.0982189724275
