structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair,ng_fit,sigma_ng_fit
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,56,5,1527.74235889,1529.58949264,1528.66592576,0.000128674980862,196.113783232,1.84713374697,0.000257349961724,12.6510574366,0.00176259652513,12.7438419234,0.0712385382945
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,57,6,1529.58949264,1531.42448167,1530.50698715,0.000126011175251,195.8778761,1.8349890346,0.000252022350501,12.765480303,0.00175324680576,12.7438419234,0.0712385382945
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,60,9,1535.10207599,1536.95533488,1536.02870543,2.81850131868e-05,195.173734019,1.85325889544,5.63700263735e-05,12.7310015331,0.000387235381031,12.7438419234,0.0712385382945
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,71,20,1555.67392682,1557.5718254,1556.62287611,3.67542110486e-05,192.591579246,1.89789857713,7.35084220972e-05,12.7671457665,0.000494490827303,12.7438419234,0.0712385382945
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,76,25,1565.16874865,1567.11219947,1566.14047406,0.000107608140294,191.421180262,1.94345081954,0.000215216280587,12.6208286818,0.00139762214245,12.7438419234,0.0712385382945
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,77,26,1567.11219947,1569.04218782,1568.07719364,3.96575918103e-05,191.184757495,1.92998834761,7.93151836206e-05,12.7403157033,0.000523578935611,12.7438419234,0.0712385382945
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,78,27,1569.04218782,1570.96328386,1570.00273584,3.7159967797e-05,190.950277447,1.92109603937,7.4319935594e-05,12.8307410979,0.000496373188199,12.7438419234,0.0712385382945
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,81,30,1574.81609384,1576.77182698,1575.79396041,0.000118127178547,190.248513151,1.95573314339,0.000236254357093,12.6966534982,0.00153376856646,12.7438419234,0.0712385382945
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,84,33,1580.66864081,1582.61932976,1581.64398529,6.44601365105e-05,189.544841184,1.95068894696,0.000128920273021,12.8241752745,0.000847545395514,12.7438419234,0.0712385382945
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,85,34,1582.61932976,1584.57684986,1583.59808981,9.37596799487e-05,189.310949495,1.95752010542,0.000187519359897,12.8110199385,0.00122722422478,12.7438419234,0.0712385382945
