structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair,ng_fit,sigma_ng_fit
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,84,23,1545.01943738,1546.72965496,1545.87454617,0.00148517103031,193.93065158,1.71021757968,0.00297034206062,13.9732402526,0.024269034033,13.1179983631,0.5726566095
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,100,38,1570.88771333,1572.81622094,1571.85196713,0.000124407955295,190.725630828,1.9285076017,0.000248815910589,12.8115575194,0.00165294746397,13.1179983631,0.5726566095
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,114,52,1596.37926192,1598.35626363,1597.36776277,0.00015349794683,187.679046107,1.97700170936,0.000306995893659,12.9063306191,0.00200414269657,13.1179983631,0.5726566095
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,124,62,1616.5104692,1618.55760478,1617.53403699,0.000172250941723,185.339196051,2.04713557982,0.000344501883446,12.7808650614,0.00215082755404,13.1179983631,0.5726566095
