structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,2,83,1521.51690549,1521.51690549,1521.51690549,0.00991160261522,197.035246154,0,0.0198232052304,,
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,83,4,1521.51690549,1524.04893888,1522.78292219,0.00701104754923,196.871434288,2.53203339831,0.0140220950985,9.15812496648,0.0507166599032
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,4,85,1524.04893888,1524.04893888,1524.04893888,0.000264024758384,196.707894577,0,0.000528049516768,,
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,85,8,1524.04893888,1526.96484201,1525.50689045,0.000351224363058,196.519897666,2.91590312775,0.000702448726117,7.9809622297,0.00192263828638
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,8,89,1526.96484201,1526.96484201,1526.96484201,0.000420723226565,196.332259756,0,0.000841446453131,,
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,89,11,1526.96484201,1530.10125907,1528.53305054,0.00033034965594,196.130831384,3.13641705293,0.00066069931188,7.4493067955,0.00156923079802
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,11,92,1530.10125907,1530.10125907,1530.10125907,0.000203110208969,195.929815902,0,0.000406220417939,,
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,92,12,1530.10125907,1531.22890134,1530.6650802,0.000147469360331,195.857645071,1.12764227145,0.000294938720662,20.7772947775,0.00543437449852
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,12,93,1531.22890134,1531.22890134,1531.22890134,4.73356893395e-05,195.785527388,0,9.4671378679e-05,,
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,93,13,1531.22890134,1531.93418535,1531.58154334,0.000152037143485,195.740448364,0.705284012437,0.00030407428697,33.2595377542,0.014339430813
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,13,94,1531.93418535,1531.93418535,1531.93418535,0.000209737737455,195.695390094,0,0.00041947547491,,
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,94,14,1531.93418535,1533.41486906,1532.6745272,0.000374970080869,195.600861552,1.48068371096,0.000749940161738,15.8649088185,0.00803530000998
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,14,95,1533.41486906,1533.41486906,1533.41486906,0.000487047435658,195.506424288,0,0.000974094871317,,
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,95,15,1533.41486906,1534.10633739,1533.76060322,0.00242859839861,195.462354014,0.691468328188,0.00485719679723,34.0206701031,0.238977115684
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,15,96,1534.10633739,1534.10633739,1534.10633739,0.00339984781408,195.418303604,0,0.00679969562816,,
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,96,16,1534.10633739,1535.61638131,1534.86135935,0.0024107072575,195.322174328,1.51004392169,0.004821414515,15.6008666939,0.0498119825836
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,16,97,1535.61638131,1535.61638131,1535.61638131,0.000253088529607,195.226139581,0,0.000506177059214,,
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,97,19,1535.61638131,1539.33893646,1537.47765888,0.000323496843193,194.989797912,3.72255514702,0.000646993686386,6.35004038412,0.00110366345612
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,19,100,1539.33893646,1539.33893646,1539.33893646,0.000381112334218,194.754027784,0,0.000762224668436,,
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,100,20,1539.33893646,1539.93869789,1539.63881717,0.000307644399857,194.716094876,0.599761431478,0.000615288799714,39.5238433639,0.0405470887461
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,20,101,1539.93869789,1539.93869789,1539.93869789,0.000209865533697,194.678176742,0,0.000419731067395,,
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,101,22,1539.93869789,1542.39272334,1541.16571061,0.000415764845456,194.523181989,2.45402544705,0.000831529690912,9.67875761199,0.00327958478921
mple 78  Diameter 100 um Coupling Distance 0.1 um SECOND MEASUREMENT,5040,22,103,1542.39272334,1542.39272334,1542.39272334,0.000549251555482,194.368433839,0,0.00109850311096,,
