StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.519741210937500000e+03 1.520741210937500000e+03 1.520241305715996532e+03 8.200995047907846079e-04 5.729405914625861941e-03 2.303158983452109274e-03 2.653401292156955460e+05 1.066638516070178011e+05 -6.746359699958504952e-05 1.871627968183289104e-05 1.520219711941283549e+03 8.200995047907846079e-04 5.499505610706859234e-03 2.303158983452109274e-03 2.764284318542385590e+05 1.099465958338112105e+05 -6.702001817444490535e-05 1.871627968183289104e-05 2.119462673411090492e+01 -1.388782267218599889e-02 1.490233918373932154e-01
1.520755859375000000e+03 1.521755859375000000e+03 1.521255516277178003e+03 3.784855299162210034e-04 4.728828514879790737e-03 1.489390962308344713e-03 3.216981777813207591e+05 1.013219991105749941e+05 -1.787908935531675619e-04 2.786382939530821491e-05 1.521101880125789648e+03 3.784855299162210034e-04 6.694408974054555372e-02 1.489390962308344713e-03 2.272197420296708515e+04 4.691551651176524501e+03 -4.094439753207988991e-04 2.786382939530821491e-05 1.045181187726128114e+00 -6.359226865277659794e-04 2.105112258085403143e-01
1.521350952148437500e+03 1.522350952148437500e+03 1.521516905486492305e+03 1.401712284330001654e-02 5.606398360286257709e-01 8.756369743502898095e-02 2.713893675954922855e+03 4.238702815142485747e+02 -8.632995976436267857e-03 3.352789505657771847e-03 nan nan nan nan nan nan nan nan 4.237784272734896263e+01 -2.788524326849355431e-02 2.595584813983607964e-01
1.522221801757812500e+03 1.523221801757812500e+03 1.522637242215954529e+03 5.740184081073376049e-03 6.918944002618845901e-02 1.863327723063059119e-02 2.200678660847133142e+04 5.926606079134955507e+03 -3.307882853490551399e-04 6.899442152609131863e-05 1.522720605959097156e+03 5.740184081073376049e-03 5.239685925328594132e-03 1.863327723063059119e-02 2.906129542227482889e+05 3.952421505231451010e+04 -2.811279436054002446e-04 6.899442152609131863e-05 -9.518208052899579386e+00 6.301958660531350835e-03 2.398560447813690155e-01
1.523549072265625000e+03 1.524549072265625000e+03 1.524048938884799554e+03 3.733873941092169220e-04 2.235203896904815885e-03 1.427268023972806362e-03 6.818388877163360594e+05 4.353816863358055707e+05 -6.927419893327014014e-05 2.125457847365432354e-05 nan nan nan nan nan nan nan nan 2.631142417194319449e+01 -1.721945230698462143e-02 2.415098423688621931e-01
1.523966430664062500e+03 1.524966430664062500e+03 1.524577901357949031e+03 3.674125336013917085e-04 4.021574685491581883e-03 6.647157309899097378e-04 3.790997359462417662e+05 6.266041981191081868e+04 -2.083775365261712970e-04 2.663418617783526685e-05 1.524422344897432367e+03 3.674125336013917085e-04 2.206695838762985553e-03 6.647157309899097378e-04 6.908167034710060107e+05 1.481217072802580369e+05 -1.094864073230250150e-04 2.663418617783526685e-05 -1.392592054377469601e+01 9.179077340484736655e-03 1.910160918923828888e-01
1.524887207031250000e+03 1.525887207031250000e+03 1.525116766247974283e+03 5.424134945821887334e-04 4.226751954051667474e-03 1.501050995324598215e-03 3.608247616200975026e+05 1.281400880524107488e+05 -4.659422462549119617e-05 1.122681841612535549e-05 1.525386111267448541e+03 5.424134945821887334e-04 3.053963994129980843e-03 1.501050995324598215e-03 4.994774379132794566e+05 1.854810612482344441e+05 -3.786631328870142482e-05 1.122681841612535549e-05 -5.437565401300518353e+00 3.610463732528341758e-03 9.877566937357995513e-02
1.525938842773437500e+03 1.526938842773437500e+03 1.526438524879015404e+03 4.620357805279957149e-04 4.234870582171205294e-03 1.883827219122671858e-03 3.604451411821928923e+05 1.603393432654928474e+05 -1.597611851405249988e-04 3.424063778171085055e-05 1.526454565834259256e+03 4.620357805279957149e-04 2.888519610998149193e-03 1.883827219122671858e-03 5.284556698255483061e+05 2.307442202208490344e+05 -8.699097657027114771e-05 3.424063778171085055e-05 -4.565170663275825547e+00 3.041621436228228881e-03 1.343974021440456079e-01
1.526465087890625000e+03 1.527465087890625000e+03 1.526964842012551799e+03 5.949924930141749745e-04 3.628926195759510365e-03 1.640400079322239723e-03 4.207759429764231318e+05 1.902052709262135613e+05 -5.193316695616037576e-05 1.563591585043361669e-05 nan nan nan nan nan nan nan nan 2.374139900411023962e+00 -1.503742900838044971e-03 2.480902571391430111e-02
1.527759399414062500e+03 1.528759399414062500e+03 1.528002876239638681e+03 4.229749290784276419e-04 3.152848056576483277e-03 1.165458933864633485e-03 4.846420914742142777e+05 1.791492787156203412e+05 -4.888785619626773512e-05 1.180613541930581974e-05 1.528259504495669489e+03 4.229749290784276419e-04 2.436416971352567667e-03 1.165458933864633485e-03 6.272569607193558477e+05 1.868732763811715704e+05 -1.025542074421918634e-04 1.180613541930581974e-05 -1.074816820610696944e+00 7.497379643279383516e-04 1.143152558627691384e-01
