StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.521256103515625000e+03 1.522256103515625000e+03 1.521827044935667573e+03 2.372418116940831420e-03 1.588861915391713911e-02 6.897218211442446116e-03 9.578095051516671083e+04 4.157832155249737116e+04 -2.845295464275469338e-05 9.018828832245328196e-06 nan nan nan nan nan nan nan nan 8.808414697767412704e-01 -6.558482395679945650e-04 2.640363451248284310e-02
1.522894897460937500e+03 1.523894897460937500e+03 1.523393985483940241e+03 6.127362328375134668e-05 4.725245244984181692e-03 1.710779502334635856e-04 3.223946920217555598e+05 1.167233026387594145e+04 -1.789287300687532193e-04 3.894792812996884233e-06 nan nan nan nan nan nan nan nan 6.379684490989599333e+00 -4.112972675584043031e-03 8.399808987164796292e-01
1.523775756835937500e+03 1.524775756835937500e+03 1.524246273819361932e+03 2.633938202751343743e-02 8.116960682867168098e-01 2.048400238432583342e-01 1.877853464335064018e+03 4.738960361385588840e+02 -1.203401188305830774e-03 5.747799008486759089e-04 nan nan nan nan nan nan nan nan 1.909968559525121012e+00 -1.178690627307982285e-03 1.662615775824858311e-01
1.524763427734375000e+03 1.525763427734375000e+03 1.525270596590177774e+03 5.582265052175620858e-05 2.513224606456346613e-03 1.654545659817384373e-04 6.068978445745895151e+05 3.995425606266875548e+04 -6.340725959537815053e-05 2.847481551446891135e-06 1.525263925689775988e+03 5.582265052175620858e-05 3.095741252406867920e-03 1.654545659817384373e-04 4.926974838429788942e+05 2.621818182957530007e+04 -9.194689445046636076e-05 2.847481551446891135e-06 -9.341326054953215774e+00 6.199368919198341814e-03 8.520001806296710889e-01
1.526587890625000000e+03 1.527587890625000000e+03 1.527087485790306346e+03 4.647538849941433174e-05 3.200899738631709287e-03 1.309381870482433888e-04 4.770806993295864668e+05 1.951578835538432759e+04 -1.339679916835548269e-04 3.218410499434499144e-06 nan nan nan nan nan nan nan nan 2.357052362130247936e+00 -1.466180344303164408e-03 8.004417226111969486e-01
1.528412475585937500e+03 1.529412475585937500e+03 1.528912219701946242e+03 3.900961971533349176e-05 2.660118431741663632e-03 1.301619495480453657e-04 5.747534400943642249e+05 2.812319458391826629e+04 -1.381617352263084990e-04 3.516320351518383244e-06 nan nan nan nan nan nan nan nan 3.368973269971007767e+00 -2.126111517459013112e-03 8.243009487876613584e-01
1.530255004882812500e+03 1.531255004882812500e+03 1.530752312132531188e+03 3.104618764805161844e-05 3.600844763005995805e-03 7.505050239842725739e-05 4.251092209969792166e+05 8.860326592754399826e+03 -3.832609587932264130e-04 6.790386491115985540e-06 1.530908090441209424e+03 3.104618764805161844e-05 2.929821234543424774e-02 7.505050239842725739e-05 5.225261092353922868e+04 7.630410001713497877e+03 -1.002491420207234644e-04 6.790386491115985540e-06 -9.395463768026205420e-01 6.852280361907043702e-04 6.686515979908456142e-01
1.532085449218750000e+03 1.533085449218750000e+03 1.532584946999699696e+03 3.561386379651460812e-05 2.340359088200579408e-03 1.018323901448247416e-04 6.548503410124344518e+05 2.849348023073288641e+04 -1.935565542832894342e-04 5.039487461733803202e-06 nan nan nan nan nan nan nan nan -3.299876968224120244e+00 2.231689190574494362e-03 8.349691064569517707e-01
1.533929077148437500e+03 1.534929077148437500e+03 1.534429015144621417e+03 4.070581405242747436e-05 2.639257980439053183e-03 1.693823979126991678e-04 5.813865209528936539e+05 3.731224600360939075e+04 -1.434335182973291753e-04 4.363907758010445007e-06 nan nan nan nan nan nan nan nan 2.823334957312199300e+00 -1.767066370974555625e-03 8.040698222207336432e-01
1.535769531250000000e+03 1.536769531250000000e+03 1.536268864395655555e+03 4.235542208089155625e-05 2.765313597696878681e-03 1.326423729756276860e-04 5.555496004775565816e+05 2.664776153214239457e+04 -1.310494936825081478e-04 3.394124053929710714e-06 nan nan nan nan nan nan nan nan 4.275347794919687416e+00 -2.709183511932879325e-03 8.105757241613686936e-01
1.537612060546875000e+03 1.538612060546875000e+03 1.538112419433472724e+03 4.597684862779375064e-05 3.070931413009398651e-03 1.656528692015042756e-04 5.008618599938641419e+05 2.701760248702257013e+04 -1.616185527465523425e-04 4.419263539554284981e-06 nan nan nan nan nan nan nan nan -6.970175277688986704e+00 4.605184419905677083e-03 8.399835177031077516e-01
1.539494506835937500e+03 1.540494506835937500e+03 1.539994481335128739e+03 6.258080219472576735e-05 2.819922085315809852e-03 1.929690544821170077e-04 5.461124225220077205e+05 3.737081898957031808e+04 -7.982357744565139236e-05 3.917873026966268493e-06 1.539988246713657418e+03 6.258080219472576735e-05 4.132789781735826673e-03 1.929690544821170077e-04 3.726268036955032148e+05 2.312208159085349325e+04 -9.820416515326677812e-05 3.917873026966268493e-06 1.245951933379225629e+01 -8.016840713999062035e-03 8.652299509496054197e-01
1.541339965820312500e+03 1.542339965820312500e+03 1.541840675820443039e+03 5.491491535023495678e-05 3.006316990714681930e-03 1.722259490838376960e-04 5.128669666514130076e+05 2.938113324646695037e+04 -1.060566242479714323e-04 3.665675380731619582e-06 1.541847160832291365e+03 5.491491535023495678e-05 2.857172112680318472e-03 1.722259490838376960e-04 5.396409806708779652e+05 4.745271312633522757e+04 -4.913240419904484318e-05 3.665675380731619582e-06 -5.541652570218444041e+00 3.664502193343229918e-03 8.041196693149267327e-01
1.543203491210937500e+03 1.544203491210937500e+03 1.543703384080591604e+03 5.099240014173017741e-05 3.028784796292269613e-03 1.993408461636203446e-04 5.096774739394948701e+05 3.354465429502379993e+04 -1.676620866754336575e-04 5.537263042832551956e-06 nan nan nan nan nan nan nan nan 5.904808765723948305e+00 -3.754396848951289598e-03 8.109153636982056046e-01
1.545066040039062500e+03 1.546066040039062500e+03 1.545571356780591941e+03 1.375290103647296678e-04 3.557189547709438664e-03 4.434975582073106149e-04 4.344922687001099112e+05 5.417092838153209595e+04 -4.118040364457884340e-05 3.872901606351346633e-06 1.545565585608490892e+03 1.375290103647296678e-04 2.535479135715316794e-03 4.434975582073106149e-04 6.095753515922549414e+05 3.926791305071414536e+04 -1.171889758218927220e-04 3.872901606351346633e-06 -2.344035052373194095e+00 1.587853730959734545e-03 7.991252773073205251e-01
1.546922485351562500e+03 1.547922485351562500e+03 1.547422540706748123e+03 6.718746158377942375e-05 3.923400538016521590e-03 2.177553527223233590e-04 3.944085049978223396e+05 2.189033780525766269e+04 -1.644438710629177701e-04 4.939090727299342074e-06 1.547436714447599343e+03 6.718746158377942375e-05 6.385880198456681672e-03 2.177553527223233590e-04 2.423216011508607189e+05 3.442608921718913189e+04 -4.425091100791566203e-05 4.939090727299342074e-06 6.387097953204587064e+00 -4.060393123382021428e-03 8.002319183893140675e-01
1.548818969726562500e+03 1.549818969726562500e+03 1.549318272266790700e+03 6.832623000160274751e-05 3.874981695845818898e-03 1.960072804942226249e-04 3.998259589013646473e+05 2.022430169394000040e+04 -1.291871296386772701e-04 3.867897156220216826e-06 nan nan nan nan nan nan nan nan -4.474401268860995984e+00 2.955632204688701456e-03 7.218822947367217191e-01
1.550700439453125000e+03 1.551700439453125000e+03 1.551200591071665258e+03 5.542959375746412201e-05 3.666144523154999876e-03 1.711985043935945283e-04 4.231149594006560510e+05 1.975826315042066562e+04 -1.521342506985227363e-04 3.877254325596718127e-06 1.551106341016386068e+03 5.542959375746412201e-05 2.116960214610568228e-03 1.711985043935945283e-04 7.327045309170935070e+05 2.679128811938662548e+05 -6.894679184732930104e-06 3.877254325596718127e-06 4.173096856894731310e+00 -2.622135655002526874e-03 8.005932774669552998e-01
1.552586791992187500e+03 1.553586791992187500e+03 1.553086765225583349e+03 6.070342242693992237e-05 2.932743022031270713e-03 2.525001047435501624e-04 5.295679688123125816e+05 4.559416443563395296e+04 -1.464938078079830572e-04 5.989821073070603920e-06 1.553078507008583756e+03 6.070342242693992237e-05 3.263210559092654447e-03 2.525001047435501624e-04 4.759357322747882572e+05 5.606381715156589780e+04 -4.210509783367368886e-05 5.989821073070603920e-06 7.184490307603673465e+00 -4.564174616510150058e-03 7.931274820499413236e-01
1.554470336914062500e+03 1.555470336914062500e+03 1.554961925569080904e+03 2.948552808595784414e-04 6.420763987589119329e-03 8.878471544738607713e-04 2.421770880497572944e+05 3.348764086634486739e+04 -6.081937585961585962e-05 6.692622426133783689e-06 1.554970118019379697e+03 2.948552808595784414e-04 3.298594945695198545e-03 8.878471544738607713e-04 4.714037775534335524e+05 4.010418505109893158e+04 -9.668309204637548157e-05 6.692622426133783689e-06 -4.364779801513837043e+00 2.870183300685304889e-03 6.669922024203072120e-01
1.556385742187500000e+03 1.557385742187500000e+03 1.556885556823615389e+03 2.185651001332657932e-04 9.648129673436360576e-03 6.045410395185982439e-04 1.613665663211491192e+05 1.011104898560447691e+04 -1.975795936468127787e-04 8.166240031724173254e-06 nan nan nan nan nan nan nan nan 4.387925988058405835e+00 -2.755631499548054971e-03 5.659415945257539882e-01
1.558269165039062500e+03 1.559269165039062500e+03 1.558769303747136746e+03 7.931492504290462797e-05 3.326519604396727982e-03 2.665345871633578311e-04 4.685886419207871077e+05 3.754527105709653551e+04 -1.379107125829703449e-04 5.743797668929543670e-06 nan nan nan nan nan nan nan nan 6.628468534505439713e+00 -4.192401167120269126e-03 6.728182369177764244e-01
