StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.534238647460937500e+03 1.535238647460937500e+03 1.534727568489821124e+03 1.990521528097771112e-03 2.649807986668200055e-01 8.375193360595899889e-03 5.791844451414563991e+03 1.830616311822824969e+02 -3.555955151074738623e-03 1.149220012509348027e-04 1.535029728900656892e+03 1.990521528097771112e-03 7.663960669490287037e-03 8.375193360595899889e-03 2.002919632679623610e+05 8.610117562812592951e+03 -5.496391759254247141e-04 1.149220012509348027e-04 -1.828825664682830032e+00 1.265405383457091646e-03 8.766185566637904047e-01
1.534533203125000000e+03 1.535533203125000000e+03 1.535029729356838970e+03 1.580108884189663099e-04 7.671635771366723533e-03 3.514016432813584032e-04 2.000915808706816460e+05 9.165256591994528208e+03 -5.504691320529749368e-04 1.689090479891251979e-05 1.534720582515178194e+03 1.580108884189663099e-04 3.154466105168299284e-01 3.514016432813584032e-04 4.865230854757581255e+03 2.610294990237119919e+02 -4.796730744658657571e-03 1.689090479891251979e-05 8.680547185964671897e+00 -5.579646577545964783e-03 8.837784580971889126e-01
1.534970581054687500e+03 1.535970581054687500e+03 1.535471122877611151e+03 1.293858281217935818e-03 6.499099919469914638e-03 3.664761586995147254e-03 2.362590423141007195e+05 1.332235345790104766e+05 -3.636612477238230357e-05 1.439438722401682802e-05 nan nan nan nan nan nan nan nan -1.857375457850042721e+01 1.216917791562772272e-02 2.272987085314338573e-01
1.535889404296875000e+03 1.536889404296875000e+03 1.536454141871822685e+03 1.054020219251972437e-02 7.633364642030472658e-02 3.186310316536541953e-02 2.012813764210701265e+04 8.401864136980948388e+03 -2.873071551259391587e-04 1.618139463499604358e-04 1.536377162046757803e+03 1.054020219251972437e-02 9.773100197570681880e-02 3.186310316536541953e-02 1.572046874571753688e+04 3.425058294371574902e+03 -6.352010593558478791e-04 1.618139463499604358e-04 1.752956173170808540e+01 -1.133613876520118968e-02 4.140381181920175235e-01
1.536372680664062500e+03 1.537372680664062500e+03 1.536872178175451836e+03 2.331267106958816789e-04 4.589460785545698002e-03 5.982971116866142971e-04 3.348698790532783605e+05 4.365473217672032479e+04 -3.024130938503577352e-04 3.133078308880772681e-05 1.536863146454939169e+03 2.331267106958816789e-04 1.017224642777996013e-02 5.982971116866142971e-04 1.510839476182795770e+05 2.697451283043781586e+04 -1.743158869944137638e-04 3.133078308880772681e-05 -1.869622666697403446e+01 1.223827702119277376e-02 7.070259504879964352e-01
1.537591064453125000e+03 1.538591064453125000e+03 1.538099100939651862e+03 1.273888369042762642e-03 2.363388990394956202e-01 5.144406236967314500e-03 6.508023466262375223e+03 1.416606266275706503e+02 -2.837411145079753953e-03 6.077781035126770750e-05 nan nan nan nan nan nan nan nan 3.165893690955861484e+00 -1.984432600873192298e-03 9.076196324382598268e-01
1.538010498046875000e+03 1.539010498046875000e+03 1.538736622968381425e+03 1.926888819254286237e-04 1.249639692730740263e-02 5.640625653625108704e-04 1.231344228195809119e+05 5.558043556421967878e+03 -4.953005164228575525e-04 1.334362961329621778e-05 nan nan nan nan nan nan nan nan -4.407486964407370778e+01 2.871879278714031120e-02 8.867394439005041873e-01
1.538237182617187500e+03 1.539237182617187500e+03 1.538736598784419812e+03 1.297602987947911056e-04 1.208127832976766021e-02 3.775818374169219276e-04 1.273653794560009846e+05 3.980609724053948412e+03 -4.828801524196564706e-04 8.845256668843530233e-06 nan nan nan nan nan nan nan nan -2.794777217113366419e+01 1.823774201287194779e-02 9.261907357761036685e-01
1.539292724609375000e+03 1.540292724609375000e+03 1.539791333145949011e+03 9.007517095820699506e-04 1.478605874492332772e-01 3.185983408488899261e-03 1.041380505589174572e+04 2.243884642412068047e+02 -1.449577906863368758e-03 2.710426180020193284e-05 nan nan nan nan nan nan nan nan 6.824221975421461472e+00 -4.350961493784040977e-03 9.080801695734267431e-01
1.540086669921875000e+03 1.541086669921875000e+03 1.540584438445011074e+03 1.846619174367346002e-04 1.023172164616349342e-02 6.255838379595806071e-04 1.505694243571092084e+05 9.206055601032230697e+03 -5.783109387757386349e-04 1.846188426745023952e-05 1.540595276600289480e+03 1.846619174367346002e-04 2.413965407376205807e-03 6.255838379595806071e-04 6.382010578497882234e+05 5.324039544583317183e+04 -1.839472785868468210e-04 1.846188426745023952e-05 7.566245872538083894e+00 -4.832873228965408816e-03 8.842445526005904277e-01
