structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,0,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1521.92765155,8.27304186873e-05,196.982069216,1.0707742279e-05,0.00251562809745,0.000215869185718,604989.128995,51914.8719865,-4.95014850176e-05,-21.1372881329,0.013992661786,0.810428307251,0,0.000116998480128,,
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,51,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1521.92765155,8.27304186873e-05,196.982069216,1.0707742279e-05,0.00251562809745,0.000215869185718,604989.128995,51914.8719865,-4.95014850176e-05,-21.1372881329,0.013992661786,0.810428307251,0.817273618018,9.44045162274e-05,324.878553728,27.8782592949
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,1,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1523.56219879,0.000122946672212,196.770737839,1.58787789729e-05,0.00644893666568,0.000347741759762,236250.141345,12739.1606019,-0.000122774314216,16.7369762289,-0.010887002259,0.803836238817,0.817273618018,0.000114227814914,126.72998052,6.83360013667
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,52,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1523.56219879,0.000122946672212,196.770737839,1.58787789729e-05,0.00644893666568,0.000347741759762,236250.141345,12739.1606019,-0.000122774314216,16.7369762289,-0.010887002259,0.803836238817,0.949977883849,0.000109142635816,147.307677699,7.94319280796
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,2,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1525.46215456,4.79667300101e-05,196.525660833,6.17956550746e-06,0.00376259753271,0.000129890776019,405427.936763,13996.0091049,-0.000135690673363,-10.4572447301,0.00695784466979,0.850793987067,0.949977883849,7.4192832827e-05,252.479271458,8.71600327646
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,53,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1525.46215456,4.79667300101e-05,196.525660833,6.17956550746e-06,0.00376259753271,0.000129890776019,405427.936763,13996.0091049,-0.000135690673363,-10.4572447301,0.00695784466979,0.850793987067,2.74348766312,5.68426450548e-05,729.147255125,25.1713129122
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,5,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1530.94912988,7.76010542693e-05,195.821305978,9.92582934057e-06,0.0049412276178,0.000212090511309,309831.735815,13298.7946218,-0.000160043156685,-2.01931400539,0.00141111795748,0.731567484159,2.74348766312,7.13557602072e-05,555.223898861,23.8316773337
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,56,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1530.94912988,7.76010542693e-05,195.821305978,9.92582934057e-06,0.0049412276178,0.000212090511309,309831.735815,13298.7946218,-0.000160043156685,-2.01931400539,0.00141111795748,0.731567484159,0.915073450734,7.05909247265e-05,185.1915195,7.94892090251
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,6,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1532.77927678,4.32035154109e-05,195.58749426,5.5129055112e-06,0.0027978247492,0.000115953847857,547846.778902,22705.1183489,-0.000107383025054,5.7468916435,-0.00364701165136,0.762722942281,0.915073450734,5.39016578022e-05,327.066036211,13.5550318932
mple 88  Diameter 100 um Coupling Distance 0.15 um,5041,57,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041/mple 88  Diameter 100 um Coupling Distance 0.15 um_5041_ParamFile.txt,False,1532.77927678,4.32035154109e-05,195.58749426,5.5129055112e-06,0.0027978247492,0.000115953847857,547846.778902,22705.1183489,-0.000107383025054,5.7468916435,-0.00364701165136,0.762722942281,1.84727158766,4.64147207511e-05,660.252786807,27.3637100681
