StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.521427856445312500e+03 1.522427856445312500e+03 1.521927651552576890e+03 8.273041868728609686e-05 2.515628097450743877e-03 2.158691857184489638e-04 6.049891289951996878e+05 5.191487198647445621e+04 -4.950148501757913809e-05 2.969484512411477430e-06 nan nan nan nan nan nan nan nan -2.113728813285169750e+01 1.399266178602895198e-02 8.104283072506703878e-01
1.523061645507812500e+03 1.524061645507812500e+03 1.523562198788613159e+03 1.229466722118791489e-04 6.448936665675630668e-03 3.477417597616834608e-04 2.362501413446576917e+05 1.273916060185446622e+04 -1.227743142157568755e-04 4.479076085969024740e-06 nan nan nan nan nan nan nan nan 1.673697622893694614e+01 -1.088700225895329436e-02 8.038362388169509876e-01
1.524963134765625000e+03 1.525963134765625000e+03 1.525462154556312043e+03 4.796673001010245160e-05 3.762597532713437935e-03 1.298907760194236251e-04 4.054279367626673775e+05 1.399600910493905758e+04 -1.356906733631919437e-04 3.054192974766113398e-06 nan nan nan nan nan nan nan nan -1.045724473010548117e+01 6.957844669794789431e-03 8.507939870673206784e-01
1.526784667968750000e+03 1.527784667968750000e+03 1.527283959701389904e+03 8.041062955331331375e-05 3.113258738160711633e-03 2.340566268292746939e-04 4.905740537979496876e+05 3.688164649937684590e+04 -5.803001178055977529e-05 3.046543843806977056e-06 1.527292732822128528e+03 8.041062955331331375e-05 2.929112843184089598e-03 2.340566268292746939e-04 5.214181954020884586e+05 4.235364349925096758e+04 -5.075517790861658129e-05 3.046543843806977056e-06 8.360615564171443026e+00 -5.377011152462992868e-03 7.156937874658466647e-01
1.528612182617187500e+03 1.529612182617187500e+03 1.529111868623632972e+03 7.336882645879010947e-05 2.553081586138378732e-03 2.249917424315649986e-04 5.989279296540091746e+05 5.278085871420386684e+04 -6.612680077022170771e-05 5.663594012021679129e-06 1.529114923147415539e+03 7.336882645879010947e-05 2.774298293603489306e-03 2.249917424315649986e-04 5.511717779854428954e+05 6.032593522044764541e+04 -4.870495940555143665e-05 5.663594012021679129e-06 1.860865492825887868e+00 -1.113324256782709199e-03 7.639101457193907541e-01
1.530448730468750000e+03 1.531448730468750000e+03 1.530949129882546913e+03 7.760105426930445475e-05 4.941227617801949648e-03 2.120905113091126005e-04 3.098317358153949608e+05 1.329879462184222211e+04 -1.600431566853326355e-04 4.479751466584823515e-06 nan nan nan nan nan nan nan nan -2.019314005391984246e+00 1.411117957482207162e-03 7.315674841587870292e-01
1.532279296875000000e+03 1.533279296875000000e+03 1.532779276784015792e+03 4.320351541087524041e-05 2.797824749203216364e-03 1.159538478574840967e-04 5.478467789022637298e+05 2.270511834887141595e+04 -1.073830250543339178e-04 2.849602057423065373e-06 nan nan nan nan nan nan nan nan 5.746891643501734315e+00 -3.647011651362911441e-03 7.627229422806924841e-01
1.534128784179687500e+03 1.535128784179687500e+03 1.534628905020968205e+03 6.999502055216294105e-05 5.341640665138014041e-03 1.909135698929779351e-04 2.872954212432627683e+05 1.026811759193571743e+04 -1.593724208962364478e-04 3.753911442762483355e-06 1.534552990762967738e+03 6.999502055216294105e-05 2.523248653955849699e-02 1.909135698929779351e-04 6.081655838227263303e+04 8.445484184803923199e+03 -7.305921079383329551e-05 3.753911442762483355e-06 -6.305943992115652819e+00 4.200626216777462139e-03 8.197831282974541445e-01
1.535974243164062500e+03 1.536974243164062500e+03 1.536473819959331422e+03 5.493335942800872923e-05 3.920837085595147223e-03 1.509192362597692452e-04 3.918739254952003830e+05 1.508384874320830568e+04 -1.264528039966012981e-04 3.185849962778776310e-06 nan nan nan nan nan nan nan nan 8.527904286760056962e+00 -5.453480066304867979e-03 8.084814104697974901e-01
1.537821777343750000e+03 1.538821777343750000e+03 1.538321167556302498e+03 4.764945040434427078e-05 3.475518593859722605e-03 1.299219714034116938e-04 4.426162962483036099e+05 1.654589962069897956e+04 -1.223510333021203469e-04 2.946579846273574525e-06 nan nan nan nan nan nan nan nan -1.606469856051880996e+01 1.053613225054973561e-02 8.804226792099895116e-01
1.539683227539062500e+03 1.540683227539062500e+03 1.540183293350132544e+03 4.944524187461439086e-05 3.370718091737335154e-03 1.334588675896024096e-04 4.569303191286137444e+05 1.809151679215316835e+04 -1.048240342903336591e-04 2.739269823528480039e-06 nan nan nan nan nan nan nan nan 2.039416223293007491e+01 -1.314664672652149369e-02 9.015337670211649446e-01
1.541537719726562500e+03 1.542537719726562500e+03 1.541757059362019390e+03 7.984761007382948795e-04 3.486254624551833690e-03 2.217354923373953627e-03 4.422387993419201230e+05 2.812761787742844899e+05 -5.344681862858261537e-06 2.429762279841782695e-06 1.542038312901381687e+03 7.984761007382948795e-04 3.655395497962972157e-03 2.217354923373953627e-03 4.218526596535743447e+05 1.778698639009258477e+04 -1.039936861658951451e-04 2.429762279841782695e-06 -1.119800022750037449e+01 7.350735862660047297e-03 8.183222537900589622e-01
1.543407226562500000e+03 1.544407226562500000e+03 1.543906922347873660e+03 5.597621335218710753e-05 3.534999598123173426e-03 1.539910138218524049e-04 4.367488254220949602e+05 1.902557342523677289e+04 -1.316799348134643191e-04 3.602087908999375176e-06 nan nan nan nan nan nan nan nan 1.865527105756444826e+01 -1.199615130189114753e-02 8.646092810939542961e-01
1.545272705078125000e+03 1.546272705078125000e+03 1.545491583813540046e+03 8.836337126061493698e-05 4.120558164798465532e-04 3.315869919758635941e-03 3.750685033441651147e+06 3.018227915607243404e+07 -5.495163963303410758e-06 3.113836230454886925e-05 1.545771700367114818e+03 8.836337126061493698e-05 3.547081131745176939e-03 3.315869919758635941e-03 4.357869591797550675e+05 1.712849709149496630e+04 -1.247599113420725563e-04 3.113836230454886925e-05 -1.211512124676658431e+01 7.926487289820833421e-03 8.416685600467441741e-01
1.547145141601562500e+03 1.548145141601562500e+03 1.547636214323222021e+03 1.057680877422982033e-04 3.529333731735623432e-03 3.031577486574958853e-04 4.385066224842782831e+05 3.766622556785072084e+04 -5.314515244333832127e-05 3.159092865997044829e-06 1.547645507203467105e+03 1.057680877422982033e-04 2.561898916237154242e-03 3.031577486574958853e-04 6.041009258384814020e+05 3.470582564735136839e+04 -8.334010168392058638e-05 3.159092865997044829e-06 1.731039910713806051e+01 -1.110374682437251757e-02 8.550089999922423356e-01
1.549022583007812500e+03 1.550022583007812500e+03 1.549517321393536122e+03 6.955543778955496797e-05 2.572468661281993637e-03 2.309901930463204478e-04 6.023464327146873111e+05 5.408661371377281466e+04 -5.650599414036788190e-05 3.469431284714561399e-06 1.549522738271967000e+03 6.955543778955496797e-05 2.840132149406847124e-03 2.309901930463204478e-04 5.455812112811652478e+05 4.051788827254351054e+04 -6.840791252367127450e-05 3.469431284714561399e-06 -9.551648308310090485e+00 6.250569110940144314e-03 7.765029792308633105e-01
1.550895141601562500e+03 1.551895141601562500e+03 1.551394718894323887e+03 9.105149952173794445e-05 4.633639670936861785e-03 2.593002249170632870e-04 3.348112561762171099e+05 1.873616426754912391e+04 -1.061092987195266909e-04 3.991726085351196704e-06 1.551404795105434914e+03 9.105149952173794445e-05 2.166200965755794416e-03 2.593002249170632870e-04 7.161869187719362089e+05 7.277437019723838603e+04 -4.262387067001272581e-05 3.991726085351196704e-06 8.188645408414654270e+00 -5.197617805489298387e-03 7.524188897836014966e-01
1.552780517578125000e+03 1.553780517578125000e+03 1.553281364704072303e+03 7.473591195777365588e-05 4.913006856261292049e-03 2.091440200234089854e-04 3.161569707000349881e+05 1.345862966309568037e+04 -1.400859296675027819e-04 3.821770464419443084e-06 nan nan nan nan nan nan nan nan 3.000309481474219719e+00 -1.849044164483033305e-03 7.380271670628506531e-01
1.554676025390625000e+03 1.555676025390625000e+03 1.555170335660230194e+03 1.487222946076651711e-04 4.974958543053522100e-03 4.214250281131658323e-04 3.125996573040185031e+05 2.648008384945022044e+04 -8.480054268685538878e-05 6.203184893126814707e-06 1.555175756458633714e+03 1.487222946076651711e-04 2.730452109431252654e-03 4.214250281131658323e-04 5.695671244651763700e+05 4.110215616855082044e+04 -9.569414097528513847e-05 6.203184893126814707e-06 -5.101193289093902017e+00 3.357219208480329183e-03 8.151202552170450089e-01
1.556562500000000000e+03 1.557562500000000000e+03 1.557064072210821450e+03 1.002174990380365544e-04 6.177779142689846480e-03 2.729837583377847914e-04 2.520426898156908283e+05 1.113726456358348514e+04 -1.615811310558548045e-04 4.737475736512419389e-06 nan nan nan nan nan nan nan nan 6.994536352695197579e+00 -4.410876163506357965e-03 7.400731609735641259e-01
1.558464843750000000e+03 1.559464843750000000e+03 1.558964990950134052e+03 7.564063611136176001e-05 4.708974384400301839e-03 2.128070761504685779e-04 3.310625337259445805e+05 1.496131515571984710e+04 -1.535108459079711780e-04 4.280135864274050286e-06 nan nan nan nan nan nan nan nan -2.741458511129347464e+00 1.834266159692974100e-03 7.327310979340639907e-01
1.560366333007812500e+03 1.561366333007812500e+03 1.560865854658452463e+03 5.154887743098380848e-05 3.286243784042644066e-03 1.449270063023663064e-04 4.749695875387307606e+05 2.094668713895511974e+04 -1.357445653413993252e-04 3.554662112277630110e-06 1.560983121486597383e+03 5.154887743098380848e-05 2.425706641793563736e-03 1.449270063023663064e-04 6.435168600323445862e+05 4.357942917969924747e+05 -4.233850496663640385e-06 3.554662112277630110e-06 7.927948032177788207e+00 -5.002474291561563764e-03 8.030091048298368950e-01
1.562269775390625000e+03 1.563269775390625000e+03 1.562770134270215749e+03 5.665281090746617453e-05 3.885599410754387098e-03 1.617095917492016748e-04 4.021953807036440703e+05 1.673843439367787141e+04 -1.584813717950318845e-04 3.878359452356792174e-06 nan nan nan nan nan nan nan nan -5.468499221129061283e+00 3.574736064600632802e-03 8.061728545078753472e-01
1.564182128906250000e+03 1.565182128906250000e+03 1.564682143745721987e+03 5.539500103870470646e-05 3.321807695202250773e-03 1.805999042261709458e-04 4.710333310400905320e+05 2.560912077964621858e+04 -1.568808008773940274e-04 4.484070718363779324e-06 nan nan nan nan nan nan nan nan 1.355670847036841486e+01 -8.591071443337228511e-03 8.290514770783838916e-01
1.566098632812500000e+03 1.567098632812500000e+03 1.566598188948932602e+03 9.681600407465724035e-05 5.281799508694859889e-03 2.657744221520692493e-04 2.966031153530174633e+05 1.492474704156086045e+04 -1.350643228021709591e-04 4.400337786602420516e-06 nan nan nan nan nan nan nan nan -6.369111387024960713e+00 4.136988986613869893e-03 6.987781711331833012e-01
1.568027954101562500e+03 1.569027954101562500e+03 1.568528542527028321e+03 1.792346818175428124e-04 9.692200404806889172e-03 4.999708624513270151e-04 1.618341013408172876e+05 8.348190487422605656e+03 -1.720215355471320438e-04 6.010101352138941453e-06 nan nan nan nan nan nan nan nan 6.402259477493857709e+00 -4.009505655598767995e-03 6.677098179549763035e-01
1.569935424804687500e+03 1.570935424804687500e+03 1.570435786948921987e+03 9.084091859362395456e-05 5.041693044413440676e-03 2.481563732800821649e-04 3.114897660596529022e+05 1.533178834537140756e+04 -1.591112527945637669e-04 4.915610306094660915e-06 nan nan nan nan nan nan nan nan 3.675757582784586308e+00 -2.270074000661522016e-03 7.013758460931489580e-01
1.571866821289062500e+03 1.572866821289062500e+03 1.572363491090123489e+03 3.723305862678480513e-04 1.385862655784354282e-02 1.090280308441564502e-03 1.134573822685347986e+05 8.925873658473066826e+03 -1.367144929491752867e-04 7.662646037243624615e-06 1.572401830368036372e+03 3.723305862678480513e-04 1.281348972820818381e-02 1.090280308441564502e-03 1.227145659551653080e+05 1.523847669342250265e+04 -8.038371804518915022e-05 7.662646037243624615e-06 2.403678154714680826e+00 -1.460609058728343018e-03 5.361472220312144543e-01
1.573820190429687500e+03 1.574820190429687500e+03 1.574320744559074910e+03 1.887366732257545257e-04 8.335274324972470963e-03 5.213247139945759038e-04 1.888744968887720897e+05 1.181304168677311281e+04 -1.284371555610062867e-04 5.515000420451196630e-06 1.574272755305373721e+03 1.887366732257545257e-04 1.055898550500903102e-02 5.213247139945759038e-04 1.490931827265565807e+05 3.023890759093016459e+04 -3.976964009425064584e-05 5.515000420451196630e-06 -2.377479319537173730e+00 1.579933298981491636e-03 5.634674874122732602e-01
1.575746582031250000e+03 1.576746582031250000e+03 1.576246000732007815e+03 1.157636546634596285e-04 5.045396989832181232e-03 3.390263493083440528e-04 3.124126810850689071e+05 2.099262574568767013e+04 -1.352678653385154203e-04 6.004002606359008092e-06 1.576257425007030861e+03 1.157636546634596285e-04 4.489710848017735081e-03 3.390263493083440528e-04 3.510821695127579733e+05 5.189137424296792597e+04 -4.725589291281944240e-05 6.004002606359008092e-06 9.847171883270881665e+00 -6.180001277819271131e-03 7.055162568138495516e-01
1.577675903320312500e+03 1.578675903320312500e+03 1.578174105164033335e+03 3.875919957337481772e-04 1.616185915327300951e-02 1.094277692003544581e-03 9.764805460790259531e+04 6.611497279632907521e+03 -1.817259307086547973e-04 8.621453310116553210e-06 nan nan nan nan nan nan nan nan -4.034962919418826566e+00 2.622642485584685424e-03 5.097402500371093215e-01
1.579653320312500000e+03 1.580653320312500000e+03 1.580151494968239604e+03 7.080075473591247942e-04 2.397881827612951058e-02 2.044173724953396182e-03 6.589780517004261492e+04 5.617731462465680124e+03 -1.795708261618800814e-04 1.097824323511686811e-05 nan nan nan nan nan nan nan nan 8.572267665833340544e+00 -5.360804241212020239e-03 4.924985344135414111e-01
1.581567749023437500e+03 1.582567749023437500e+03 1.582068680401076335e+03 3.876150332065866314e-04 1.037141552396605992e-02 1.127550876180452360e-03 1.525412492388588144e+05 1.658385191837345337e+04 -9.746987807040590694e-05 7.531455343644550692e-06 1.582104019541421849e+03 3.876150332065866314e-04 1.397530040961286746e-02 1.127550876180452360e-03 1.132071564238559367e+05 1.167166382999184498e+04 -1.192478151027375491e-04 7.531455343644550692e-06 1.208517532196522914e+00 -7.004106596366385488e-04 4.739049127926061589e-01
1.583531005859375000e+03 1.584531005859375000e+03 1.584073871775521411e+03 6.959320815791788682e-04 2.109805152875349546e-02 2.095071250617181087e-03 7.508152445341528801e+04 7.455718985330126088e+03 -1.584362822878217518e-04 1.137562105658079707e-05 1.584030895894390824e+03 6.959320815791788682e-04 1.210907722984303631e-02 2.095071250617181087e-03 1.308135100493469945e+05 1.070939906452783907e+04 -1.522301818661893423e-04 1.137562105658079707e-05 3.507507862209337191e+00 -2.154268184945740128e-03 5.827839551961588871e-01
1.585492431640625000e+03 1.586492431640625000e+03 1.585992292255911480e+03 1.511492905942667748e-04 6.040817885621134996e-03 4.154417141676805146e-04 2.625459535919837072e+05 1.805592273651725191e+04 -1.591276996068716307e-04 6.917441140430812591e-06 nan nan nan nan nan nan nan nan -7.348588752541441060e+00 4.695288204644323775e-03 5.757657553777174586e-01
1.587460693359375000e+03 1.588460693359375000e+03 1.587534216018744019e+03 5.919047678518807309e-02 7.094913519887748876e-01 3.014080541537573765e-01 2.237566689951509034e+03 9.505691968823919069e+02 -3.935028469408738579e-03 4.093922021929428598e-03 nan nan nan nan nan nan nan nan 1.473330944792296826e+01 -9.332710790821542937e-03 5.264123840321466297e-02
1.589458007812500000e+03 1.590458007812500000e+03 1.589957951956469742e+03 2.393734108297081978e-04 7.864059687252390046e-03 6.665357927221326204e-04 2.021803006574054016e+05 1.713623908401172594e+04 -1.457828586112484056e-04 8.117599578927685685e-06 nan nan nan nan nan nan nan nan 4.265362543456546973e+00 -2.625153468106039903e-03 4.226469273033515162e-01
1.591413452148437500e+03 1.592413452148437500e+03 1.591912698221145092e+03 1.357521591144141601e-04 4.731391918602171481e-03 4.487503881856056060e-04 3.364575849154037423e+05 3.191142784963933809e+04 -1.804769935350896196e-04 8.960548687746425886e-06 nan nan nan nan nan nan nan nan -4.905096186666385805e+00 3.137163509174912841e-03 5.465079284080320843e-01
1.593401733398437500e+03 1.594401733398437500e+03 1.593902016142128787e+03 1.332691583800302694e-04 4.413640556601847870e-03 4.708207675364919323e-04 3.611309067200765712e+05 3.852328446384767449e+04 -1.862946239682362534e-04 1.020960766919586136e-05 nan nan nan nan nan nan nan nan 1.119927425751518868e+01 -6.969167166012171961e-03 6.128606111385884736e-01
1.595390014648437500e+03 1.596390014648437500e+03 1.595889913370766408e+03 1.550054034197924152e-04 3.399357236439791343e-03 4.471607660736485763e-04 4.694681383478750940e+05 6.175512539268271212e+04 -8.020641618227603074e-05 6.717793357158832884e-06 1.595878823157807119e+03 1.550054034197924152e-04 4.413669658081242550e-03 4.471607660736485763e-04 3.615764084735749057e+05 5.060812048034463805e+04 -7.493884436463629480e-05 6.717793357158832884e-06 -3.214336171390411057e+00 2.067236847005317520e-03 4.287170592832554306e-01
1.597381347656250000e+03 1.598381347656250000e+03 1.597976163063088052e+03 1.164633601645659279e-03 7.271305881815712940e-03 3.294657838779238221e-03 2.197646735037446197e+05 9.957625439159861708e+04 -2.177848793046729113e-05 7.014031515475929355e-06 1.597882394579549555e+03 1.164633601645659279e-03 4.844086877322709324e-03 3.294657838779238221e-03 3.298624560306579806e+05 3.901966696031361789e+04 -2.017993879001701114e-04 7.014031515475929355e-06 5.439018210957629940e+00 -3.350426709454758928e-03 5.594248437599065316e-01
1.599357666015625000e+03 1.600357666015625000e+03 1.599857848418498634e+03 2.200357584660368195e-04 7.352488539090634018e-03 6.105015143004116672e-04 2.175940621889593895e+05 1.806755682284272189e+04 -1.733125944511063510e-04 9.070528995817793430e-06 1.599694000345657059e+03 2.200357584660368195e-04 1.649377250943091788e-02 6.105015143004116672e-04 9.698775701137950819e+04 5.403140132435526903e+04 -2.833341292595768662e-05 9.070528995817793430e-06 -7.274609552773866561e+00 4.601589707300079296e-03 4.914151547430390954e-01
