StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.520029785156250000e+03 1.521029785156250000e+03 1.520533309737674017e+03 1.572087524466841870e-04 6.768277668856767341e-03 2.940802108958279855e-04 2.246558702421716589e+05 9.761249306302475816e+03 -5.970905556374969409e-04 2.296545486793817416e-05 1.520517844137555358e+03 1.572087524466841870e-04 7.027266993827295527e-03 2.940802108958279855e-04 2.163739965299693577e+05 4.319195486239199818e+04 -9.734907212038921578e-05 2.296545486793817416e-05 3.520885928720871139e+00 -2.243605013468180642e-03 5.989766582880382551e-01
1.521746459960937500e+03 1.522746459960937500e+03 1.522243539424700202e+03 8.850164163981785498e-05 5.204220767820413006e-03 1.574420485719798407e-04 2.925017226089417236e+05 8.848984790043208704e+03 -5.146709005152051057e-04 1.341156359283318704e-05 nan nan nan nan nan nan nan nan -2.086593674008337729e+01 1.378203397681232630e-02 7.425489539145119222e-01
1.522630249023437500e+03 1.523630249023437500e+03 1.523105482973551716e+03 1.573587706338765461e-03 1.612250243831393759e-01 5.699245881482884434e-03 9.447078633115936100e+03 3.339507884760894854e+02 -1.371793573576874205e-03 4.314820498139310698e-05 nan nan nan nan nan nan nan nan 1.640587400147285280e+01 -1.069662992955533118e-02 8.308940678375494882e-01
1.523468139648437500e+03 1.524468139648437500e+03 1.523969057863261014e+03 1.214173893639517452e-04 9.479678193185734833e-03 3.349248451190439267e-04 1.607616869271716278e+05 5.679842922727065343e+03 -2.335031769564467326e-04 5.365393059662351637e-06 nan nan nan nan nan nan nan nan 1.075598233657693470e+01 -6.988229637702646213e-03 8.415117699970362519e-01
1.524327026367187500e+03 1.525327026367187500e+03 1.524800407042048391e+03 1.614742424616644103e-03 1.913490962099609893e-01 6.118771977893864254e-03 7.968683611491615011e+03 2.548146762916173884e+02 -1.834670808760000644e-03 5.426371473990122823e-05 nan nan nan nan nan nan nan nan -6.615215817110138730e+00 4.407668933289994768e-03 8.280062413355232520e-01
1.525362548828125000e+03 1.526362548828125000e+03 1.525868414185755000e+03 3.851714143741040018e-04 7.416801674791203593e-03 9.456771318578385778e-04 2.057313220834789099e+05 2.623171214930509814e+04 -1.041195034896515793e-04 1.400421765831169457e-05 1.525862203381670042e+03 3.851714143741040018e-04 3.834646731255386687e-03 9.456771318578385778e-04 3.979146738458834006e+05 3.974249943079796503e+04 -1.281423439222931584e-04 1.400421765831169457e-05 -1.099506674218414837e+01 7.281585095105744601e-03 7.800536709031991034e-01
1.525896850585937500e+03 1.526896850585937500e+03 1.526398771295524512e+03 1.010582817059645956e-03 6.876581283292579339e-02 3.380383729691527513e-03 2.219705851516771145e+04 1.091161034347022905e+03 -4.752268523140796446e-04 2.021178461160338344e-05 1.526542385575712160e+03 1.010582817059645956e-03 1.217809066616704905e-01 3.380383729691527513e-03 1.253515372337245390e+04 8.104693378901705501e+02 -5.569283008082921661e-04 2.021178461160338344e-05 9.643266273826339718e-01 -5.541442641706314544e-04 8.064709133608979341e-01
1.527166137695312500e+03 1.528166137695312500e+03 1.527665797705302111e+03 1.173947369877350347e-04 3.947607301302169525e-03 4.039563275791202622e-04 3.869852498249716009e+05 3.959997244281672465e+04 -1.944928815362683739e-04 1.019821958104318917e-05 1.527683753481795748e+03 1.173947369877350347e-04 5.715100333012399642e-03 4.039563275791202622e-04 2.673065500980560319e+05 5.642753976885951124e+04 -5.190702453710232660e-05 1.019821958104318917e-05 2.131631832309945906e+01 -1.388036517412101142e-02 7.221076252132068163e-01
1.528998657226562500e+03 1.529998657226562500e+03 1.529498425683142841e+03 1.752130869121214522e-04 6.781398097375753407e-03 5.223462315739552456e-04 2.255432292457544827e+05 1.737276799886755907e+04 -2.239113854098826427e-04 1.116791260126244269e-05 1.529515147549435824e+03 1.752130869121214522e-04 8.007028314273868450e-03 5.223462315739552456e-04 1.910215734872348257e+05 1.797405917511106964e+04 -1.683926317711736888e-04 1.116791260126244269e-05 1.189365718368039104e+01 -7.701677432803031784e-03 7.209978444730562597e-01
1.530827148437500000e+03 1.531827148437500000e+03 1.531322174271329004e+03 2.026456027498674825e-04 1.344444013330229996e-02 3.527733990659208982e-04 1.139000329569839087e+05 2.988663074257534390e+03 -1.220635992955072845e-03 2.726353976904921314e-05 nan nan nan nan nan nan nan nan 2.710654628597822580e+00 -1.698376855720448849e-03 6.596308565347743791e-01
1.532685668945312500e+03 1.533685668945312500e+03 1.533181382605146155e+03 1.279011283442205670e-04 6.899836053035408000e-03 2.673768985447156255e-04 2.222054800752348092e+05 8.610728087684994534e+03 -6.943126464135692538e-04 2.385067402163738623e-05 1.533079285419616554e+03 1.279011283442205670e-04 1.412817121454170155e-01 2.673768985447156255e-04 1.085122244159714137e+04 4.577283465261899096e+02 -2.464798406892715517e-03 2.385067402163738623e-05 4.387270556868838156e+00 -2.780735385150799599e-03 8.105443468991435640e-01
1.534534179687500000e+03 1.535534179687500000e+03 1.535030066368317648e+03 2.174863480573107537e-04 9.491522972508780603e-03 4.794121315852879913e-04 1.617264237587976386e+05 8.168721686998375844e+03 -6.968934964981299057e-04 2.376132403754930054e-05 1.534735421541513688e+03 2.174863480573107537e-04 4.280186042361407983e-01 4.794121315852879913e-04 3.585674562629033971e+03 2.095352646526202420e+02 -9.357060236717621576e-03 2.376132403754930054e-05 4.145035629829446577e+01 -2.692104341348898824e-02 8.278824241599594957e-01
1.536372680664062500e+03 1.537372680664062500e+03 1.536870364523955459e+03 2.160241939695435153e-04 7.628113855006110784e-03 4.355494323365695125e-04 2.014744920876281685e+05 1.150377437034999821e+04 -5.650368004471934338e-04 2.288023881015208464e-05 nan nan nan nan nan nan nan nan -2.651816146746854841e+01 1.732687710172337026e-02 7.271304121400474774e-01
1.537590087890625000e+03 1.538590087890625000e+03 1.538121027167210286e+03 1.465991628797702964e-03 2.221936009836562864e-01 5.816027065103526392e-03 6.922436201393345073e+03 1.811981810106562421e+02 -2.673904902986195316e-03 6.754396106622859381e-05 nan nan nan nan nan nan nan nan 1.340689050833843687e+01 -8.641921361373315277e-03 8.922467725553563378e-01
1.538237182617187500e+03 1.539237182617187500e+03 1.538736455337812913e+03 1.659408977507245090e-04 1.200042958454100236e-02 4.921796482480850178e-04 1.282234477105735423e+05 5.258892687713628220e+03 -4.987882925552633356e-04 1.172187793913346113e-05 nan nan nan nan nan nan nan nan -2.823658594180289327e+01 1.842454529996211815e-02 8.857287903282016206e-01
1.539296752929687500e+03 1.540296752929687500e+03 1.539807860170224330e+03 1.203762369420375298e-03 1.508543801182073429e-01 4.280943326883761106e-03 1.020724661069604190e+04 2.896610906906167315e+02 -1.449726771204744085e-03 3.588119121205332954e-05 nan nan nan nan nan nan nan nan 6.496863851976550919e+00 -4.138969257393244894e-03 8.522253933566295014e-01
