structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,1,64,1522.24353942,1522.24353942,1522.24353942,6.25801109497e-05,196.941192546,0,0.000125160221899,,
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,64,2,1522.24353942,1523.10548297,1522.6745112,0.000788037246917,196.88545109,0.861943548852,0.00157607449383,26.8989502868,0.0491850728587
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,2,65,1523.10548297,1523.10548297,1523.10548297,0.00111269453794,196.829741178,0,0.00222538907589,,
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,65,3,1523.10548297,1523.96905786,1523.53727042,0.000789132506614,196.773957435,0.863574889709,0.00157826501323,26.8785700234,0.049123143799
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,3,66,1523.96905786,1523.96905786,1523.96905786,8.58550593732e-05,196.718205303,0,0.000171710118746,,
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,66,4,1523.96905786,1524.80040704,1524.38473245,0.000809650430787,196.664563491,0.831349178787,0.00161930086157,27.9515379557,0.0544439777893
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,4,67,1524.80040704,1524.80040704,1524.80040704,0.00114179531832,196.610950925,0,0.00228359063663,,
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,67,9,1524.80040704,1531.32217427,1528.06129066,0.000813704236527,196.191383051,6.52176722928,0.00162740847305,3.58027391337,0.000893411396832
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,9,72,1531.32217427,1531.32217427,1531.32217427,0.000143292079882,195.773602079,0,0.000286584159764,,
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,72,12,1531.32217427,1536.87036452,1534.0962694,0.000148097681189,195.419586098,5.54819025263,0.000296195362378,4.2418360882,0.00022645589585
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,12,75,1536.87036452,1536.87036452,1536.87036452,0.000152752172456,195.066848135,0,0.000305504344912,,
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,75,13,1536.87036452,1538.12102717,1537.49569585,0.000740911247736,194.987510411,1.25066264325,0.00148182249547,18.9011243559,0.0223946247037
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,13,76,1538.12102717,1538.12102717,1538.12102717,0.00103661262189,194.908237196,0,0.00207322524377,,
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,76,14,1538.12102717,1538.73645534,1538.42874125,0.000737676730901,194.869251959,0.615428170603,0.0014753534618,38.4571767262,0.0921926165622
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,14,77,1538.73645534,1538.73645534,1538.73645534,0.000117337934076,194.830282314,0,0.000234675868151,,
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,77,15,1538.73645534,1539.80786017,1539.27215775,0.000607573086875,194.762476856,1.07140483241,0.00121514617375,22.1145052175,0.0250814277629
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,15,78,1539.80786017,1539.80786017,1539.80786017,0.000851188534354,194.694718578,0,0.00170237706871,,
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,78,17,1539.80786017,1541.47375398,1540.64080707,0.000981678551058,194.589456948,1.66589380783,0.00196335710212,14.2480516181,0.0167922046159
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,17,80,1541.47375398,1541.47375398,1541.47375398,0.00109675140036,194.484309075,0,0.00219350280073,,
