structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,0,52,1520.63342429,1520.63342429,1520.63342429,4.12668221153e-05,197.149722747,0,8.25336442306e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,52,2,1520.63342429,1524.04528672,1522.33935551,4.29578537088e-05,196.928797062,3.41186242341,8.59157074176e-05,6.79252802639,0.000171046262651
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,2,54,1524.04528672,1524.04528672,1524.04528672,4.45847931815e-05,196.708365961,0,8.9169586363e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,54,4,1524.04528672,1527.74235889,1525.8938228,4.74457862774e-05,196.47006464,3.69707217354,9.48915725549e-05,6.29782662922,0.000161644782297
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,4,56,1527.74235889,1527.74235889,1527.74235889,5.01438080717e-05,196.232339999,0,0.000100287616143,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,56,5,1527.74235889,1529.58949264,1528.66592576,0.000128674980862,196.113783232,1.84713374697,0.000257349961724,12.6510574366,0.00176259652513
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,5,57,1529.58949264,1529.58949264,1529.58949264,0.000174928842424,195.995369635,0,0.000349857684847,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,57,6,1529.58949264,1531.42448167,1530.50698715,0.000126011175251,195.8778761,1.8349890346,0.000252022350501,12.765480303,0.00175324680576
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,6,58,1531.42448167,1531.42448167,1531.42448167,3.40225317159e-05,195.760523348,0,6.80450634319e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,58,8,1531.42448167,1535.10207599,1533.26327883,3.0906988051e-05,195.525753561,3.6775943143,6.1813976102e-05,6.39248400256,0.00010744686777
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,8,60,1535.10207599,1535.10207599,1535.10207599,2.74399554739e-05,195.291546204,0,5.48799109478e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,60,9,1535.10207599,1536.95533488,1536.02870543,2.81850131868e-05,195.173734019,1.85325889544,5.63700263735e-05,12.7310015331,0.000387235381031
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,9,61,1536.95533488,1536.95533488,1536.95533488,2.89108765046e-05,195.056063892,0,5.78217530093e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,61,13,1536.95533488,1544.38134402,1540.66833945,2.93760400104e-05,194.585979554,7.42600914013,5.87520800207e-05,3.19641261867,2.52892324615e-05
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,13,65,1544.38134402,1544.38134402,1544.38134402,2.98339516845e-05,194.118155571,0,5.96679033691e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,65,17,1544.38134402,1551.89534586,1548.13834494,2.79477648778e-05,193.647072291,7.51400183833,5.58955297556e-05,3.18968824688,2.37278906945e-05
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,17,69,1551.89534586,1551.89534586,1551.89534586,2.59247073313e-05,193.178269913,0,5.18494146627e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,69,19,1551.89534586,1555.67392682,1553.78463634,2.80836540775e-05,192.943379017,3.77858096039,5.6167308155e-05,6.38929460937,9.4974950687e-05
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,19,71,1555.67392682,1555.67392682,1555.67392682,3.00880840612e-05,192.709058647,0,6.01761681225e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,71,20,1555.67392682,1557.5718254,1556.62287611,3.67542110486e-05,192.591579246,1.89789857713,7.35084220972e-05,12.7671457665,0.000494490827303
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,20,72,1557.5718254,1557.5718254,1557.5718254,4.23845639017e-05,192.474242993,0,8.47691278034e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,72,24,1557.5718254,1565.16874865,1561.37028702,0.000108224206072,192.005996586,7.59692325195,0.000216448412144,3.20903225207,9.14315090603e-05
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,24,76,1565.16874865,1565.16874865,1565.16874865,0.000147066333002,191.540022926,0,0.000294132666004,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,76,25,1565.16874865,1567.11219947,1566.14047406,0.000107608140294,191.421180262,1.94345081954,0.000215216280587,12.6208286818,0.00139762214245
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,25,77,1567.11219947,1567.11219947,1567.11219947,3.91218278229e-05,191.302484979,0,7.82436556458e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,77,26,1567.11219947,1569.04218782,1568.07719364,3.96575918103e-05,191.184757495,1.92998834761,7.93151836206e-05,12.7403157033,0.000523578935611
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,26,78,1569.04218782,1569.04218782,1569.04218782,4.01862136084e-05,191.06717482,0,8.03724272169e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,78,27,1569.04218782,1570.96328386,1570.00273584,3.7159967797e-05,190.950277447,1.92109603937,7.4319935594e-05,12.8307410979,0.000496373188199
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,27,79,1570.96328386,1570.96328386,1570.96328386,3.38643566182e-05,190.833523024,0,6.77287132364e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,79,29,1570.96328386,1574.81609384,1572.88968885,0.000115860459899,190.599798654,3.8528099829,0.000231720919799,6.42124056017,0.000386196111236
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,29,81,1574.81609384,1574.81609384,1574.81609384,0.000160313747654,190.366646095,0,0.000320627495309,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,81,30,1574.81609384,1576.77182698,1575.79396041,0.000118127178547,190.248513151,1.95573314339,0.000236254357093,12.6966534982,0.00153376856646
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,30,82,1576.77182698,1576.77182698,1576.77182698,4.69847095951e-05,190.130526732,0,9.39694191901e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,82,32,1576.77182698,1580.66864081,1578.7202339,5.99877677513e-05,189.895873609,3.89681382962,0.000119975535503,6.39588567966,0.000196917836106
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,32,84,1580.66864081,1580.66864081,1580.66864081,7.06364043807e-05,189.661798975,0,0.000141272808761,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,84,33,1580.66864081,1582.61932976,1581.64398529,6.44601365105e-05,189.544841184,1.95068894696,0.000128920273021,12.8241752745,0.000847545395514
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,33,85,1582.61932976,1582.61932976,1582.61932976,5.76256607258e-05,189.428027551,0,0.000115251321452,,
