structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,0,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040_ParamFile.txt,False,1520.63342429,5.83600995115e-05,197.149722747,7.5663715228e-06,0.0046587887008,0.00018935221101,326401.028669,13266.2716478,-0.000272827927415,-1.61791682768,0.00115459861435,0.856894729641,0,8.25336442306e-05,,
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,52,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040_ParamFile.txt,False,1520.63342429,5.83600995115e-05,197.149722747,7.5663715228e-06,0.0046587887008,0.00018935221101,326401.028669,13266.2716478,-0.000272827927415,-1.61791682768,0.00115459861435,0.856894729641,1.7059312117,5.95678420187e-05,366.174840986,14.8828474091
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,2,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040_ParamFile.txt,False,1524.04528672,6.30524191928e-05,196.708365961,8.138169159e-06,0.00363757428848,0.000195471671496,418972.965458,22514.2744519,-0.000195588323457,10.0087935832,-0.00648151235159,0.789060202147,1.7059312117,6.19126883466e-05,468.974947703,25.2012276739
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,54,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040_ParamFile.txt,False,1524.04528672,6.30524191928e-05,196.708365961,8.138169159e-06,0.00363757428848,0.000195471671496,418972.965458,22514.2744519,-0.000195588323457,10.0087935832,-0.00648151235159,0.789060202147,1.84853608677,6.51068845708e-05,508.178236422,27.3078878258
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,4,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040_ParamFile.txt,False,1527.74235889,7.09140534441e-05,196.232339999,9.10862395425e-06,0.00629629299758,0.000196866913828,242641.560594,7586.70144783,-0.000273634029863,-2.29082004289,0.00159097881293,0.854823333033,1.84853608677,6.90326308598e-05,293.591179363,9.17975555708
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,56,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040_ParamFile.txt,False,1527.74235889,7.09140534441e-05,196.232339999,9.10862395425e-06,0.00629629299758,0.000196866913828,242641.560594,7586.70144783,-0.000273634029863,-2.29082004289,0.00159097881293,0.854823333033,0.923566873485,0.000138100152743,146.684227345,4.58644497213
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,5,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040_ParamFile.txt,False,1529.58949264,0.000247386741406,195.995369635,3.16991297718e-05,0.0209951162207,0.000707218844052,72854.5380059,2454.09940157,-0.000292868615766,14.1738716465,-0.00917462033641,0.863794774372,0.923566873485,0.00021715743278,43.9896051909,1.48182250117
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,57,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040_ParamFile.txt,False,1529.58949264,0.000247386741406,195.995369635,3.16991297718e-05,0.0209951162207,0.000707218844052,72854.5380059,2454.09940157,-0.000292868615766,14.1738716465,-0.00917462033641,0.863794774372,0.917494517299,0.000215589694094,43.7003781096,1.47207962575
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,6,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040_ParamFile.txt,False,1531.42448167,4.8115125779e-05,195.760523348,6.15051040137e-06,0.00386496427754,0.000107939366108,396232.506099,11065.8423903,-0.000333285568126,-16.9452463563,0.0111512976642,0.918268233208,0.917494517299,0.000130523365542,237.387580172,6.62976305081
mple 81  Diameter 100 um Coupling Distance 0.11 um,5040,58,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040/mple 81  Diameter 100 um Coupling Distance 0.11 um_5040_ParamFile.txt,False,1531.42448167,4.8115125779e-05,195.760523348,6.15051040137e-06,0.00386496427754,0.000107939366108,396232.506099,11065.8423903,-0.000333285568126,-16.9452463563,0.0111512976642,0.918268233208,1.83879715715,4.59649276595e-05,475.760453424,13.2868763189
