StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.532687744140625000e+03 1.533687744140625000e+03 1.533176326557543234e+03 2.232669179591880327e-04 8.359663522860678181e-03 4.576256840417957240e-04 1.834016790705578460e+05 1.003979629202280194e+04 -9.461832379699350619e-04 4.473428085670542136e-05 nan nan nan nan nan nan nan nan -7.993414266327389051e+00 5.293480026002705778e-03 1.866946751906388702e-01
1.534533203125000000e+03 1.535533203125000000e+03 1.535029729091998661e+03 1.580239874044258295e-04 7.673936845646859954e-03 3.507511471730332038e-04 2.000315822201174451e+05 9.142804840063412485e+03 -5.842833620025686577e-04 1.792992915231645483e-05 1.534720516026255382e+03 1.580239874044258295e-04 3.160115879090120150e-01 3.507511471730332038e-04 4.856532401805915470e+03 2.608310121672175796e+02 -5.108092225813984540e-03 1.792992915231645483e-05 9.465285129396308506e+00 -6.086230736099347907e-03 8.834612519966246191e-01
1.536372680664062500e+03 1.537372680664062500e+03 1.536872183907496719e+03 2.333357851232970655e-04 4.582470798664119160e-03 6.048952170728951827e-04 3.353806824814956635e+05 4.427091402109423507e+04 -3.188695231693598297e-04 3.321475353850664836e-05 1.536863163294136257e+03 2.333357851232970655e-04 1.018432994148846943e-02 6.048952170728951827e-04 1.509046910423955997e+05 2.686862600825710615e+04 -1.854547759019566338e-04 3.321475353850664836e-05 -1.974134893100615074e+01 1.292267648513195297e-02 7.062110976917264082e-01
1.537591064453125000e+03 1.538591064453125000e+03 1.537630414381970695e+03 9.438520752924690199e-03 7.225473211740848223e-01 4.255798047339591494e-02 2.128068805076236913e+03 1.253430861761963371e+02 -3.066452285506517106e-02 4.490237134081605415e-03 nan nan nan nan nan nan nan nan 1.270929628620365008e+02 -8.267707402642743286e-02 6.946906569628155115e-01
1.538237182617187500e+03 1.539237182617187500e+03 1.538507095037586851e+03 4.003500993882759301e-04 9.520523820153916489e-03 1.157794034217074887e-03 1.615989964523521485e+05 1.965210712800917099e+04 -6.686981251163741163e-05 5.760844127841715754e-06 1.538736590260115690e+03 4.003500993882759301e-04 1.224398894460903935e-02 1.157794034217074887e-03 1.256728176757798356e+05 3.442034166073194683e+03 -5.162371253890448613e-04 5.760844127841715754e-06 -2.854592437447477238e+01 1.863097529096674129e-02 9.422646845996065501e-01
1.539292724609375000e+03 1.540292724609375000e+03 1.539791329938853096e+03 9.007131933705734943e-04 1.478558981075639434e-01 3.185819381231249584e-03 1.041413531449836046e+04 2.243911440839761156e+02 -1.532795327865154504e-03 2.865935803609847798e-05 nan nan nan nan nan nan nan nan 7.358312792766538379e+00 -4.693174530743822633e-03 9.082918570018362336e-01
1.540086669921875000e+03 1.541086669921875000e+03 1.540595275857370552e+03 7.591534624874075974e-05 2.418033551379742199e-03 2.019446765905518848e-04 6.371273363755845930e+05 5.321037576917532715e+04 -1.945331267741875721e-04 1.224306170327069673e-05 1.540584437965598909e+03 7.591534624874075974e-05 1.022717615490417557e-02 2.019446765905518848e-04 1.506363452268152905e+05 9.218636625796671069e+03 -6.111132600202546106e-04 1.224306170327069673e-05 8.127814299815470989e+00 -5.192935184968020153e-03 8.843745046221482831e-01
1.540982543945312500e+03 1.541982543945312500e+03 1.541460379755232907e+03 1.669389817042199161e-03 1.066851127941259997e-01 5.509590322396064679e-03 1.444869241250035520e+04 7.461807352475939297e+02 -1.147100773197094964e-03 4.792599470985638681e-05 nan nan nan nan nan nan nan nan 2.934758184151558780e+01 -1.896294810116296373e-02 7.773663680034502699e-01
1.541950195312500000e+03 1.542950195312500000e+03 1.542450136741000961e+03 1.285288648122341810e-04 7.471723487068140587e-03 5.193072507018426341e-04 2.064383323888567975e+05 1.434808488536210461e+04 -3.445630263361188742e-04 1.719604450344182462e-05 1.542433924597750547e+03 1.285288648122341810e-04 2.532362655365927653e-02 5.193072507018426341e-04 6.090888764803981030e+04 7.856313289208712376e+03 -1.735559116127241249e-04 1.719604450344182462e-05 -2.062407162398915261e+01 1.344726864808735295e-02 8.914797521627338961e-01
1.542751098632812500e+03 1.543751098632812500e+03 1.543079903880068059e+03 1.756418302618103361e-03 3.910229152678092179e-02 5.487718970701998752e-03 3.946264639818415890e+04 5.538292126235678552e+03 -2.511847773492870985e-04 2.758629359717142932e-05 nan nan nan nan nan nan nan nan 3.193140802218219498e+00 -2.147118359480989190e-03 1.678483440212225064e-01
1.543814697265625000e+03 1.544814697265625000e+03 1.544313790607849342e+03 1.278745256282539104e-04 5.001867804918713398e-03 2.636462931199991147e-04 3.087474221308306442e+05 1.627394336075868705e+04 -4.365634535202527118e-04 2.115943142982807613e-05 1.544297473843302669e+03 1.278745256282539104e-04 2.114504997714397247e-02 2.636462931199991147e-04 7.303352205421878898e+04 8.489514379225029188e+03 -2.531862427073238819e-04 2.115943142982807613e-05 -3.302658310144733544e+00 2.220824949093309734e-03 7.655282546041894953e-01
1.544463745117187500e+03 1.545463745117187500e+03 1.544987866209337199e+03 1.513150300005092165e-03 2.043087828953577822e-01 5.879515716603665385e-03 7.562023738356094327e+03 2.176168680301679785e+02 -1.657133703103351235e-03 4.558180251369401017e-05 nan nan nan nan nan nan nan nan 1.927666333320237868e+01 -1.239653481304724136e-02 9.060804193127034445e-01
1.545687133789062500e+03 1.546687133789062500e+03 1.546183148207607701e+03 3.556247463298828999e-04 1.272165014654692838e-02 1.067426748707547141e-03 1.215395118083240377e+05 1.019793222066898852e+04 -3.625873879827091551e-04 2.087816889087785126e-05 1.546141393263456166e+03 3.556247463298828999e-04 2.750738803900975790e-02 1.067426748707547141e-03 5.620822271714010276e+04 8.805330735959223603e+03 -2.386431114095809950e-04 2.087816889087785126e-05 -2.236872906352691537e+00 1.525350344522378261e-03 5.457284630249288337e-01
1.546195434570312500e+03 1.547195434570312500e+03 1.546705666626972061e+03 1.623629888440658413e-03 1.972505612995165136e-01 6.233300378184192074e-03 7.841324538886182381e+03 2.477931161192151990e+02 -1.527863411206631427e-03 4.561836700756170018e-05 nan nan nan nan nan nan nan nan 1.515880864969262198e+01 -9.720621342537569959e-03 8.686142648239425501e-01
1.547551635742187500e+03 1.548551635742187500e+03 1.548050558336268978e+03 3.532031758630221831e-04 9.534168450907520506e-03 1.163640246723833061e-03 1.623687022426078620e+05 1.981701474134984528e+04 -6.636426771505644483e-04 4.606421030061720313e-05 nan nan nan nan nan nan nan nan 8.984264119160718209e+00 -5.727147138727775068e-03 4.807742725630927971e-01
