structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,34,99,1565.12900063,1565.12900063,1565.12900063,8.03721888075e-05,191.544887278,0,0.000160744377615,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,99,37,1565.12900063,1570.88595118,1568.00747591,9.11656056988e-05,191.193258072,5.75695055549,0.000182331211398,4.27074615423,0.000135261812779
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,37,102,1570.88595118,1570.88595118,1570.88595118,0.000100809952838,190.84291751,0,0.000201619905675,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,102,44,1570.88595118,1581.76126421,1576.3236077,0.0013985406846,190.184589342,10.8753130269,0.0027970813692,2.28480422591,0.000587655308002
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,44,109,1581.76126421,1581.76126421,1581.76126421,0.0019752643991,189.530787473,0,0.0039505287982,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,109,45,1581.76126421,1582.54881667,1582.15504044,0.00139800656807,189.483615915,0.787552457779,0.00279601313613,31.7847344296,0.112843970107
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,45,110,1582.54881667,1582.54881667,1582.54881667,8.47070383618e-05,189.436467831,0,0.000169414076724,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,110,47,1582.54881667,1586.47317584,1584.51099625,0.000203360146723,189.201879134,3.92435917071,0.000406720293446,6.3976689901,0.000663055973319
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,47,112,1586.47317584,1586.47317584,1586.47317584,0.000274837072103,188.967870725,0,0.000549674144206,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,112,49,1586.47317584,1590.41273317,1588.4429545,0.000239456556319,188.73353755,3.93955733124,0.000478913112637,6.40465617724,0.000778585765056
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,49,114,1590.41273317,1590.41273317,1590.41273317,0.000197847083693,188.499784834,0,0.000395694167385,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,114,50,1590.41273317,1592.38914979,1591.40094148,0.000150066225725,188.382732588,1.97641662338,0.00030013245145,12.8138820863,0.00194587758653
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,50,115,1592.38914979,1592.38914979,1592.38914979,7.67872103998e-05,188.265825624,0,0.0001535744208,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,115,51,1592.38914979,1594.38136965,1593.38525972,7.67831997731e-05,188.148130637,1.99221985275,0.000153566399546,12.7439578639,0.000982344017962
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,51,116,1594.38136965,1594.38136965,1594.38136965,7.67791889369e-05,188.030582712,0,0.000153558377874,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,116,52,1594.38136965,1596.36795841,1595.37466403,0.000119309682542,187.913513207,1.98658876885,0.000238619365084,12.812014034,0.00153891790407
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,52,117,1596.36795841,1596.36795841,1596.36795841,0.000150248317271,187.796589389,0,0.000300496634541,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,117,53,1596.36795841,1598.35714695,1597.36255268,0.000150191879666,187.679658257,1.98918853122,0.000300383759332,12.8271759296,0.00193701011968
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,53,118,1598.35714695,1598.35714695,1598.35714695,0.000150135420845,187.562872649,0,0.000300270841691,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,118,54,1598.35714695,1600.34482366,1599.3509853,0.000350037703246,187.446320886,1.9876767116,0.000700075406491,12.868911525,0.00453253558388
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,54,119,1600.34482366,1600.34482366,1600.34482366,0.000471711927764,187.329913884,0,0.000943423855527,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,119,55,1600.34482366,1602.07691522,1601.21086944,0.00279186039491,187.228592887,1.7320915596,0.00558372078982,14.8021981529,0.0477176795077
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,55,120,1602.07691522,1602.07691522,1602.07691522,0.00392000724318,187.127381434,0,0.00784001448635,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,120,59,1602.07691522,1610.41198518,1606.2444502,0.00277687740187,186.64186386,8.33506996412,0.00555375480374,3.0953804166,0.00206251601789
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,59,124,1610.41198518,1610.41198518,1610.41198518,0.000235880104057,186.158859198,0,0.000471760208114,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,124,62,1610.41198518,1615.03741424,1612.72469971,0.00102055471439,185.891899624,4.62542906003,0.00204110942877,5.62300474897,0.0024813298544
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,62,127,1615.03741424,1615.03741424,1615.03741424,0.00142387654894,185.625704616,0,0.00284775309788,,
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,127,64,1615.03741424,1618.55530733,1616.79636079,0.00101165552801,185.423758533,3.51789309226,0.00202331105602,7.4306705852,0.00427374941286
mple 73  Diameter 100 um Coupling Distance 0.05 um SECOND MEASUREMENT,5041,64,129,1618.55530733,1618.55530733,1618.55530733,0.000139532749145,185.222251375,0,0.00027906549829,,
