StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.535810424804687500e+03 1.536810424804687500e+03 1.536310157844351124e+03 7.021613861363727152e-05 6.611821321957702183e-03 2.305491403754647290e-04 2.323580875881054671e+05 8.102148370958863779e+03 -3.202050744594649081e-04 5.874986642479620663e-06 nan nan nan nan nan nan nan nan -6.902958683746642343e+00 4.567096444384152396e-03 8.984807365452478489e-01
1.537661987304687500e+03 1.538661987304687500e+03 1.538155980049312120e+03 7.332251207969979750e-05 5.055275022759237770e-03 1.607347823641708945e-04 3.042675172219939413e+05 9.674324926149125531e+03 -4.760585650999005908e-04 2.294750195041943015e-05 1.538159715866843953e+03 7.332251207969979750e-05 4.248416747193829897e-03 1.607347823641708945e-04 3.620548094493863755e+05 1.656591152364199661e+04 -3.374043227919270552e-04 2.294750195041943015e-05 1.808967175277913730e+00 -1.093038591980022463e-03 8.842979588541670655e-01
1.539491455078125000e+03 1.540491455078125000e+03 1.539992232583013674e+03 2.043894032414937689e-04 1.632229187666002501e-02 5.832531960061574251e-04 9.434901937914230803e+04 3.371424032185097531e+03 -3.041829345531233742e-04 7.476859813335319334e-06 1.540056060647293634e+03 2.043894032414937689e-04 1.930043284616631341e-02 5.832531960061574251e-04 7.979386125286814058e+04 3.226913353333814939e+03 -2.807994409204047671e-04 7.476859813335319334e-06 -8.675524512133495847e+00 5.712936870993117096e-03 8.773523746482075891e-01
1.541366943359375000e+03 1.542366943359375000e+03 1.541866931029497891e+03 8.228896015611075559e-05 7.000149666097342863e-03 3.018963117519872464e-04 2.202619950394724729e+05 9.499266029075424740e+03 -3.898723429498839152e-04 8.459705529544187032e-06 nan nan nan nan nan nan nan nan 1.335707790699047415e+01 -8.585606957325308403e-03 8.974310619126183441e-01
1.541905273437500000e+03 1.542905273437500000e+03 1.542356814265761159e+03 1.262671315160494682e-02 4.964143878681543942e-01 7.277460973987183446e-02 3.106994583475700438e+03 4.554870369489601103e+02 -7.805925056727115860e-04 1.666934775583306741e-04 nan nan nan nan nan nan nan nan 7.077232791217113572e+00 -4.512145220043634747e-03 4.520082860378779044e-01
1.543237426757812500e+03 1.544237426757812500e+03 1.543735188957047285e+03 6.241881658652078475e-05 5.648982254879672364e-03 1.205479349485793681e-04 2.732766929164180765e+05 5.831659494460938731e+03 -4.767535727612937503e-04 7.365830654442709689e-06 nan nan nan nan nan nan nan nan -1.922213868519475710e+01 1.253265733892795775e-02 9.372811354928644034e-01
1.545108886718750000e+03 1.546108886718750000e+03 1.545592397431497147e+03 7.620421218713524395e-05 4.804099262643314258e-03 2.184358361485552659e-04 3.217236599272681051e+05 1.462833568229818047e+04 -1.540930284827091959e-04 4.470462673583319646e-06 1.545608152468375010e+03 7.620421218713524395e-05 4.051728897733885594e-03 2.184358361485552659e-04 3.814687980069019250e+05 2.371966949172201203e+04 -2.583834492551624184e-04 4.470462673583319646e-06 2.081072100226137778e+01 -1.338556387847701472e-02 9.321529167871025479e-01
1.546962402343750000e+03 1.547962402343750000e+03 1.547462740015841746e+03 5.868869657788572961e-05 4.418810793017512346e-03 2.528504326910712254e-04 3.501989138030307367e+05 2.003886362887047653e+04 -2.886901883836486080e-04 8.176080644516164978e-06 1.547478913575449496e+03 5.868869657788572961e-05 4.096767390820758858e-03 2.528504326910712254e-04 3.777317006190636894e+05 1.669897913887758114e+04 -1.734300107495293300e-04 8.176080644516164978e-06 -6.701777087183777404e+00 4.408401567414141874e-03 9.231399118318642794e-01
1.548849853515625000e+03 1.549849853515625000e+03 1.549353018118155433e+03 9.288801925228373638e-05 7.071892418357883688e-03 1.527082011496185433e-04 2.190860559609474731e+05 4.730874781980711305e+03 -6.414704290343687916e-04 1.166830988361994184e-05 nan nan nan nan nan nan nan nan 1.242512777613392849e+01 -7.946138672260204261e-03 8.415542914510779626e-01
1.550731323242187500e+03 1.551731323242187500e+03 1.551230697793476111e+03 7.049155838375134597e-05 6.629704800580786712e-03 2.369441033488989105e-04 2.339818656265935861e+05 8.362457306693924693e+03 -3.703393773548969699e-04 6.914753497663512706e-06 nan nan nan nan nan nan nan nan -8.353039703262533422e+00 5.466086482393874187e-03 9.038650552041411768e-01
1.552612792968750000e+03 1.553612792968750000e+03 1.553112227187372355e+03 8.175731855682086540e-05 6.055255532380550074e-03 3.392900508893028754e-04 2.564899563498330535e+05 1.437172880272415387e+04 -3.574349691173834089e-04 1.033273673528483276e-05 nan nan nan nan nan nan nan nan 1.821461083487259103e+01 -1.165816915759425136e-02 9.065469179690759383e-01
1.554500244140625000e+03 1.555500244140625000e+03 1.555000610146464624e+03 6.764622542150333174e-05 5.570509896471869359e-03 2.838255459439108209e-04 2.791487025507912040e+05 1.422303063337564163e+04 -3.534841560056811304e-04 9.187640159799376771e-06 nan nan nan nan nan nan nan nan -1.017374031644745003e+01 6.618481701301983343e-03 9.020415465698332635e-01
1.556381713867187500e+03 1.557381713867187500e+03 1.556882264830875101e+03 9.005775485961770650e-05 7.183420098757086966e-03 3.164839428053400905e-04 2.167327322399333352e+05 9.548714775319278488e+03 -3.617122546056004734e-04 8.154934468364157823e-06 1.557010020011589404e+03 9.005775485961770650e-05 2.509376945460608382e-02 3.164839428053400905e-04 6.204767373941871483e+04 3.924844271327085153e+03 -2.046308066470038016e-04 8.154934468364157823e-06 4.597078086141112685e+00 -2.881336880376454430e-03 8.833695043013530812e-01
