structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair
mple 76 Diameter 100 um Coupling Distance 0.09,5039,72,19,1549.35301812,1551.23069779,1550.29185796,5.83036103599e-05,193.378076819,1.87767967532,0.00011660722072,12.7998661137,0.000794894852125
mple 76 Diameter 100 um Coupling Distance 0.09,5039,19,73,1551.23069779,1551.23069779,1551.23069779,4.98450589496e-05,193.261040042,0,9.96901178991e-05,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,73,20,1551.23069779,1553.11222719,1552.17146249,5.39752696635e-05,193.143905325,1.8815293939,0.000107950539327,12.8046697372,0.000734653428259
mple 76 Diameter 100 um Coupling Distance 0.09,5039,20,74,1553.11222719,1553.11222719,1553.11222719,5.78111543632e-05,193.026912513,0,0.000115622308726,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,74,21,1553.11222719,1555.00061015,1554.05641867,5.30572119306e-05,192.909635969,1.88838295909,0.000106114423861,12.7892032745,0.000718667753545
mple 76 Diameter 100 um Coupling Distance 0.09,5039,21,75,1555.00061015,1555.00061015,1555.00061015,4.78331047172e-05,192.792501845,0,9.56662094344e-05,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,75,24,1555.00061015,1560.69834827,1557.84947921,6.00475544322e-05,192.439938518,5.69773812828,0.000120095108864,4.2594007398,8.97788921441e-05
mple 76 Diameter 100 um Coupling Distance 0.09,5039,24,78,1560.69834827,1560.69834827,1560.69834827,7.01670270119e-05,192.088662317,0,0.000140334054024,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,78,25,1560.69834827,1562.60207511,1561.65021169,6.24518839975e-05,191.97157965,1.90372683954,0.000124903767995,12.8104060574,0.000840493048576
mple 76 Diameter 100 um Coupling Distance 0.09,5039,25,79,1562.60207511,1562.60207511,1562.60207511,5.36382694539e-05,191.854639626,0,0.000107276538908,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,79,26,1562.60207511,1564.50918518,1563.55563015,7.69450376172e-05,191.737634543,1.90711006334,0.000153890075234,12.818904664,0.00103439424316
mple 76 Diameter 100 um Coupling Distance 0.09,5039,26,80,1564.50918518,1564.50918518,1564.50918518,9.46784752614e-05,191.620772086,0,0.000189356950523,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,80,28,1564.50918518,1568.35258139,1566.43088329,8.58104711015e-05,191.385691638,3.84339621598,0.000171620942203,6.38421222852,0.000285078028479
mple 76 Diameter 100 um Coupling Distance 0.09,5039,28,82,1568.35258139,1568.35258139,1568.35258139,7.5913504882e-05,191.151187276,0,0.000151827009764,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,82,29,1568.35258139,1570.27272689,1569.31265414,6.40841210192e-05,191.034244966,1.92014549487,0.000128168242038,12.8258104036,0.000856113667969
mple 76 Diameter 100 um Coupling Distance 0.09,5039,29,83,1570.27272689,1570.27272689,1570.27272689,4.95044332371e-05,190.917445655,0,9.90088664742e-05,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,83,30,1570.27272689,1572.2047818,1571.23875435,7.10133246551e-05,190.80006598,1.93205491577,0.00014202664931,12.7780592726,0.00093932439517
mple 76 Diameter 100 um Coupling Distance 0.09,5039,30,84,1572.2047818,1572.2047818,1572.2047818,8.73790343676e-05,190.682830551,0,0.000174758068735,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,84,31,1572.2047818,1574.13284128,1573.16881154,8.17565188231e-05,190.565981095,1.92805947878,0.000163513037646,12.836015366,0.00108858542135
mple 76 Diameter 100 um Coupling Distance 0.09,5039,31,85,1574.13284128,1574.13284128,1574.13284128,7.57176405677e-05,190.449274761,0,0.000151435281135,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,85,32,1574.13284128,1576.08590164,1575.10937146,0.000107514754025,190.331200761,1.95306036042,0.000215029508049,12.7029844154,0.00139858380456
mple 76 Diameter 100 um Coupling Distance 0.09,5039,32,86,1576.08590164,1576.08590164,1576.08590164,0.000131854782139,190.213273076,0,0.000263709564277,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,86,34,1576.08590164,1579.95958484,1578.02274324,0.000107735967157,189.979808139,3.873683201,0.000215471934314,6.42839295054,0.000357577624462
mple 76 Diameter 100 um Coupling Distance 0.09,5039,34,88,1579.95958484,1579.95958484,1579.95958484,7.63439170191e-05,189.746915602,0,0.000152687834038,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,88,36,1579.95958484,1583.86841475,1581.9139998,7.75752089038e-05,189.512488061,3.90882990877,0.000155150417808,6.40204859553,0.000254112757496
mple 76 Diameter 100 um Coupling Distance 0.09,5039,36,90,1583.86841475,1583.86841475,1583.86841475,7.87872604368e-05,189.278639063,0,0.000157574520874,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,90,38,1583.86841475,1587.80542566,1585.83692021,9.89657288503e-05,189.043686763,3.93701090527,0.000197931457701,6.38778707501,0.000321144120233
mple 76 Diameter 100 um Coupling Distance 0.09,5039,38,92,1587.80542566,1587.80542566,1587.80542566,0.00011567626622,188.809317033,0,0.00023135253244,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,92,39,1587.80542566,1589.772745,1588.78908533,0.000106178022327,188.69242039,1.96731933725,0.000212356044654,12.8309151944,0.00138499349711
mple 76 Diameter 100 um Coupling Distance 0.09,5039,39,93,1589.772745,1589.772745,1589.772745,9.5742082095e-05,188.575668405,0,0.00019148416419,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,93,42,1589.772745,1595.70188073,1592.73731286,0.00010724374005,188.224671815,5.92913572992,0.000214487480101,4.27855300221,0.000154778445347
mple 76 Diameter 100 um Coupling Distance 0.09,5039,42,96,1595.70188073,1595.70188073,1595.70188073,0.000117626073964,187.874979419,0,0.000235252147927,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,96,46,1595.70188073,1603.70676703,1599.70432388,0.000130997759949,187.404918225,8.00488630383,0.000261995519899,3.1968647982,0.000104632934088
mple 76 Diameter 100 um Coupling Distance 0.09,5039,46,100,1603.70676703,1603.70676703,1603.70676703,0.000143125584531,186.937203336,0,0.000286251169063,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,100,47,1603.70676703,1605.71085932,1604.70881318,0.000123511643656,186.820472062,2.0040922933,0.000247023287313,12.8491606085,0.00158378153473
mple 76 Diameter 100 um Coupling Distance 0.09,5039,47,101,1605.71085932,1605.71085932,1605.71085932,0.000100126516418,186.703886481,0,0.000200253032836,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,101,48,1605.71085932,1607.73387207,1606.7223657,0.000111669307229,186.58634771,2.02301275039,0.000223338614458,12.7609515063,0.00140879759019
mple 76 Diameter 100 um Coupling Distance 0.09,5039,48,102,1607.73387207,1607.73387207,1607.73387207,0.000122125955734,186.468956839,0,0.000244251911469,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,102,49,1607.73387207,1609.74512031,1608.73949619,0.000133250949608,186.352394971,2.01124824173,0.000266501899217,12.8678435258,0.00170506422196
mple 76 Diameter 100 um Coupling Distance 0.09,5039,49,103,1609.74512031,1609.74512031,1609.74512031,0.000143516138741,186.235978738,0,0.000287032277482,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,103,50,1609.74512031,1611.33944894,1610.54228463,0.0170832879934,186.143798186,1.59432862799,0.0341665759868,16.2692082739,0.348650462231
mple 76 Diameter 100 um Coupling Distance 0.09,5039,50,104,1611.33944894,1611.33944894,1611.33944894,0.0241589912962,186.051708842,0,0.0483179825923,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,104,51,1611.33944894,1613.79035046,1612.5648997,0.0170833835086,185.910320915,2.45090151384,0.0341667670171,10.6098329168,0.147906436064
mple 76 Diameter 100 um Coupling Distance 0.09,5039,51,105,1613.79035046,1613.79035046,1613.79035046,0.000164692906465,185.769147718,0,0.000329385812929,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,105,52,1613.79035046,1615.82353812,1614.80694429,0.000156184884724,185.652197657,2.03318766672,0.000312369769448,12.8251882992,0.00197040556228
mple 76 Diameter 100 um Coupling Distance 0.09,5039,52,106,1615.82353812,1615.82353812,1615.82353812,0.000147185879053,185.535394755,0,0.000294371758106,,
mple 76 Diameter 100 um Coupling Distance 0.09,5039,106,53,1615.82353812,1617.87195705,1616.84774758,0.000153580953156,185.417865379,2.0484189221,0.000307161906311,12.7620215312,0.00191367594079
mple 76 Diameter 100 um Coupling Distance 0.09,5039,53,107,1617.87195705,1617.87195705,1617.87195705,0.000159720178286,185.300484809,0,0.000319440356572,,
