structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,1,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040_ParamFile.txt,False,1521.21147736,0.000510573274896,197.074806798,6.61453920142e-05,0.00875103724613,0.0020618222541,173832.133789,40956.3977209,-0.000197253774746,21.8151595616,-0.0143109565101,0.57902268296,0,0.000722059649943,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,35,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040_ParamFile.txt,False,1521.21147736,0.000510573274896,197.074806798,6.61453920142e-05,0.00875103724613,0.0020618222541,173832.133789,40956.3977209,-0.000197253774746,21.8151595616,-0.0143109565101,0.57902268296,0.415536291762,0.000453818431304,47.4842330201,11.1878280713
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,2,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040_ParamFile.txt,False,1522.04254994,0.000204326863756,196.967199118,2.64418955042e-05,0.00372411405896,0.000480691940896,408699.230433,52753.0637378,-0.000139114984508,2.04966041384,-0.00132270116028,0.0225429931821,0.415536291762,0.000310617719551,111.579904692,14.4024752007
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,36,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040_ParamFile.txt,False,1522.04254994,0.000204326863756,196.967199118,2.64418955042e-05,0.00372411405896,0.000480691940896,408699.230433,52753.0637378,-0.000139114984508,2.04966041384,-0.00132270116028,0.0225429931821,0.353985560431,0.00045847176444,95.0522875579,12.2695406243
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,3,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040_ParamFile.txt,False,1522.75052106,0.000845894221164,196.875623323,0.000109365224148,0.0140277992725,0.00249308363607,108552.346059,19292.411615,-0.000218002857979,-32.3173706528,0.0212517452068,0.630223622212,0.353985560431,0.000739655421032,25.2345755422,4.4851123145
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,37,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040_ParamFile.txt,False,1522.75052106,0.000845894221164,196.875623323,0.000109365224148,0.0140277992725,0.00249308363607,108552.346059,19292.411615,-0.000218002857979,-32.3173706528,0.0212517452068,0.630223622212,1.67918972743,0.0022889977191,119.704430811,21.275036095
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,5,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040_ParamFile.txt,False,1526.10890052,0.00433721467443,196.442375703,0.000558290928184,0.121112498033,0.0195602793148,12600.7548791,2035.08547056,-0.000575313412759,19.4922934353,-0.0127986092418,0.270335886929,1.67918972743,0.00377987534284,13.8647105352,2.23943816887
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,39,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040_ParamFile.txt,False,1526.10890052,0.00433721467443,196.442375703,0.000558290928184,0.121112498033,0.0195602793148,12600.7548791,2035.08547056,-0.000575313412759,19.4922934353,-0.0127986092418,0.270335886929,1.07476394074,0.00377314060233,8.87409605277,1.4335498335
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,6,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040_ParamFile.txt,False,1528.2584284,0.000715588305944,196.166075337,9.18523640541e-05,0.00583640297222,0.0020462204228,261849.367783,91803.3807134,-0.000121195981372,1.92093574189,-0.00123471163188,0.127809673675,1.07476394074,0.00225541742272,184.148343741,64.5628572118
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,40,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040/mple 78  Diameter 100 um Coupling Distance 0.1 um_5040_ParamFile.txt,False,1528.2584284,0.000715588305944,196.166075337,9.18523640541e-05,0.00583640297222,0.0020462204228,261849.367783,91803.3807134,-0.000121195981372,1.92093574189,-0.00123471163188,0.127809673675,0.977334661741,0.00529050022292,167.45496608,58.7160642021
