structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,1,35,1521.21147736,1521.21147736,1521.21147736,0.000361029824971,197.074806798,0,0.000722059649943,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,35,2,1521.21147736,1522.04254994,1521.62701365,0.000274970242158,197.020988265,0.831072583525,0.000549940484317,27.8597659768,0.0184354721635
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,2,36,1522.04254994,1522.04254994,1522.04254994,0.000144480910941,196.967199118,0,0.000288961821882,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,36,3,1522.04254994,1522.75052106,1522.3965355,0.000435111049231,196.921400574,0.707971120862,0.000870222098462,32.7370869096,0.0402396915763
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,3,37,1522.75052106,1522.75052106,1522.75052106,0.000598137539951,196.875623323,0,0.0011962750799,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,37,5,1522.75052106,1526.10890052,1524.42971079,0.00220946646079,196.658760898,3.35837945487,0.00441893292159,6.91966460126,0.0091048698713
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,5,39,1526.10890052,1526.10890052,1526.10890052,0.00306687390775,196.442375703,0,0.0061337478155,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,39,6,1526.10890052,1528.2584284,1527.18366446,0.00219792503032,196.304128296,2.14952788148,0.00439585006065,10.8502428142,0.0221890993779
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,6,40,1528.2584284,1528.2584284,1528.2584284,0.000505997343671,196.166075337,0,0.00101199468734,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,40,7,1528.2584284,1530.21309772,1529.23576306,0.00526624717393,196.040705587,1.95466932348,0.0105324943479,11.9639776965,0.0644664695407
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,7,41,1530.21309772,1530.21309772,1530.21309772,0.00743038930891,195.915495983,0,0.0148607786178,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,41,10,1530.21309772,1532.11756352,1531.16533062,0.00565076930211,195.793655985,1.90446579701,0.0113015386042,12.3103668934,0.0730526085125
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,10,44,1532.11756352,1532.11756352,1532.11756352,0.00294137759039,195.671967438,0,0.00588275518079,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,44,12,1532.11756352,1535.61887953,1533.86822153,0.0020800792995,195.448640107,3.50131601134,0.004160158599,6.71962117498,0.0079840730036
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,12,46,1535.61887953,1535.61887953,1535.61887953,4.19243978529e-05,195.225821977,0,8.38487957058e-05,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,46,13,1535.61887953,1539.33810584,1537.47849269,0.000321935931165,194.989692166,3.71922630731,0.000643871862331,6.35573078956,0.00110030631516
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,13,47,1539.33810584,1539.33810584,1539.33810584,0.000453351775573,194.754132872,0,0.000906703551146,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,47,14,1539.33810584,1541.20533599,1540.27172091,0.000678313080454,194.636085263,1.86723015048,0.00135662616091,12.7056483832,0.00923122821742
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,14,48,1541.20533599,1541.20533599,1541.20533599,0.000845393067049,194.518180673,0,0.0016907861341,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,48,15,1541.20533599,1543.32037368,1542.26285483,0.00517628222645,194.384800918,2.1150376873,0.0103525644529,11.2460157456,0.0550464008392
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,15,49,1543.32037368,1543.32037368,1543.32037368,0.00727138954656,194.251603953,0,0.0145427790931,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,49,16,1543.32037368,1546.79801735,1545.05919551,0.00514960877859,194.032991662,3.47764367319,0.0102992175572,6.86444081677,0.02032944002
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,16,50,1546.79801735,1546.79801735,1546.79801735,0.000404765620044,193.814870873,0,0.000809531240088,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,50,18,1546.79801735,1548.66731964,1547.73266849,0.000371415904493,193.697829155,1.86930228513,0.000742831808985,12.8148156249,0.0050924131913
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,18,52,1548.66731964,1548.66731964,1548.66731964,0.000334760124642,193.580928711,0,0.000669520249284,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,52,19,1548.66731964,1550.54578418,1549.60655191,0.000355724608708,193.463597344,1.87846454536,0.000711449217415,12.7832088801,0.00484151306365
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,19,53,1550.54578418,1550.54578418,1550.54578418,0.000375520509999,193.346408122,0,0.000751041019998,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,53,20,1550.54578418,1552.18738935,1551.36658677,0.0011940209109,193.244111712,1.64160517064,0.00238804182181,14.6608839298,0.021327188898
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,20,54,1552.18738935,1552.18738935,1552.18738935,0.00164631595325,193.141923492,0,0.0032926319065,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,54,21,1552.18738935,1554.57835148,1553.38287041,0.00119028153934,192.993281766,2.39096212574,0.00238056307868,10.09216464,0.0100482825414
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,21,55,1554.57835148,1554.57835148,1554.57835148,0.000350975879329,192.844868652,0,0.000701951758659,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,55,22,1554.57835148,1556.20948855,1555.39392001,0.000547492855161,192.743750726,1.6311370729,0.00109498571032,14.8316796093,0.00995654285129
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,22,56,1556.20948855,1556.20948855,1556.20948855,0.000690154174829,192.642738787,0,0.00138030834966,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,56,23,1556.20948855,1557.93876546,1557.07412701,0.000494615514364,192.535764868,1.72927691279,0.000989231028728,14.0201943313,0.00802024228273
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,23,57,1557.93876546,1557.93876546,1557.93876546,0.000113913252367,192.428909689,0,0.000227826504733,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,57,24,1557.93876546,1558.20447839,1558.07162193,8.8281301461e-05,192.412501313,0.265712926877,0.000176562602922,91.3612750266,0.0607083176161
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,24,58,1558.20447839,1558.20447839,1558.20447839,5.10974295884e-05,192.396095736,0,0.000102194859177,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,58,25,1558.20447839,1560.46631663,1559.33539751,0.000266272800407,192.256559095,2.2618382417,0.000532545600814,10.7502244727,0.00253112299006
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,25,59,1560.46631663,1560.46631663,1560.46631663,0.000373083718705,192.117224707,0,0.00074616743741,,
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,59,26,1560.46631663,1561.88441885,1561.17536774,0.0029990070257,192.029969339,1.41810222307,0.00599801405139,17.1868324384,0.0726935641989
mple 78  Diameter 100 um Coupling Distance 0.1 um,5040,26,60,1561.88441885,1561.88441885,1561.88441885,0.00422479523991,191.942793193,0,0.00844959047982,,
