StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.532685668945312500e+03 1.533685668945312500e+03 1.533181387715713981e+03 1.279254126946360935e-04 6.897779709784055031e-03 2.673389432471594642e-04 2.222717239782237739e+05 8.614639826481301498e+03 -6.529869471412535955e-04 2.243604400889801371e-05 1.533079281036897100e+03 1.279254126946360935e-04 1.413176000765139217e-01 2.673389432471594642e-04 1.084846671756977412e+04 4.575751018731824615e+02 -2.319595896470848760e-03 2.243604400889801371e-05 4.009493645181978927e+00 -2.539114137360344754e-03 8.106396931334199918e-01
1.534223632812500000e+03 1.535223632812500000e+03 1.535023193359374773e+03 1.920406655199407902e-04 1.157898998115700767e-02 3.504737239858150550e-04 1.325696969992533559e+05 4.012629380542367926e+03 -1.038508422289579009e-03 2.778253436782750991e-05 1.534755704057396315e+03 1.920406655199407902e-04 2.805493702597958716e-01 3.504737239858150550e-04 5.470536977631329137e+03 2.306517090654151900e+02 -4.048133497417384825e-03 2.778253436782750991e-05 4.880813120279671402e+00 -3.107037156519516091e-03 8.047113797091016707e-01
1.534534179687500000e+03 1.535534179687500000e+03 1.535030617942846447e+03 3.566299476880025799e-04 8.093970754097705098e-03 7.163467102078482354e-04 1.896511198988101096e+05 1.678483403939105847e+04 -5.436204993012462659e-04 3.419684418233640981e-05 nan nan nan nan nan nan nan nan -2.444776514366714792e+01 1.599172619039286591e-02 5.319274847834750686e-01
1.534970581054687500e+03 1.535970581054687500e+03 1.535473897896039261e+03 2.679367087486528645e-03 1.037065096994643255e-02 7.601814817815643471e-03 1.480595482719220745e+05 1.085294714128818596e+05 -3.886113716992899961e-05 2.030156526610109904e-05 nan nan nan nan nan nan nan nan -1.460324835188045256e+01 9.578890141757690282e-03 1.286443555103150560e-01
1.535943359375000000e+03 1.536943359375000000e+03 1.536415472303679735e+03 4.526095371293294665e-03 1.554425207794259967e-01 1.623140450863164164e-02 9.884138938301597591e+03 1.032107923793841792e+03 -1.319874652729569791e-03 1.213159709340765600e-04 nan nan nan nan nan nan nan nan 1.341945133511425681e+01 -8.665076076268745514e-03 3.341721438814171385e-01
1.536372680664062500e+03 1.537372680664062500e+03 1.536870364103018801e+03 2.159934001195736128e-04 7.628405655922965677e-03 4.354909995234408681e-04 2.014667852527923533e+05 1.150135108673156719e+04 -5.332355867386885185e-04 2.158792951890839217e-05 nan nan nan nan nan nan nan nan -2.513907646141795738e+01 1.642547466701353362e-02 7.279655359719334751e-01
1.537590087890625000e+03 1.538590087890625000e+03 1.538121034480590652e+03 1.466271784007671828e-03 2.222100995200053941e-01 5.817452767617763490e-03 6.921922260973177799e+03 1.812156869917773747e+02 -2.525679730230850906e-03 6.380010691685119206e-05 nan nan nan nan nan nan nan nan 1.253955762907567895e+01 -8.082159946191946193e-03 8.919173402121580718e-01
1.538237182617187500e+03 1.539237182617187500e+03 1.538736455405732613e+03 1.659264561257946832e-04 1.200129051010515209e-02 4.921453452165350847e-04 1.282142494684307603e+05 5.257771738248264228e+03 -4.713796113941590019e-04 1.107631717096450749e-05 nan nan nan nan nan nan nan nan -2.680481565500999608e+01 1.748998922993356964e-02 8.861813210685325348e-01
1.539296752929687500e+03 1.540296752929687500e+03 1.539807864304071700e+03 1.203769466635140834e-03 1.508640214233645527e-01 4.281044680108193196e-03 1.020659432100753475e+04 2.896309267398746670e+02 -1.371075351233192298e-03 3.393266063343146355e-05 nan nan nan nan nan nan nan nan 6.018348600802348791e+00 -3.832563932575172236e-03 8.519005958322383165e-01
1.540087646484375000e+03 1.541087646484375000e+03 1.540586961821688419e+03 1.901793076488680608e-04 1.038294129560001985e-02 7.397502286535769314e-04 1.483767381478447933e+05 1.057135187872232200e+04 -6.170143513745379032e-04 2.108108087732332565e-05 1.540598713296384176e+03 1.901793076488680608e-04 2.277213552555941694e-03 7.397502286535769314e-04 6.765279925403649686e+05 6.648498730780236656e+04 -1.402005940897506667e-04 2.108108087732332565e-05 2.976011424947050621e+00 -1.857427990592942779e-03 8.713915464341397410e-01
1.540996459960937500e+03 1.541996459960937500e+03 1.541473755628505842e+03 1.551220233225504520e-03 7.950583629279067699e-02 4.887052054608550557e-03 1.938818365423924843e+04 1.191749778297313242e+03 -8.124844364439004788e-04 3.860266568941283464e-05 nan nan nan nan nan nan nan nan 3.397669764107413926e+01 -2.197428967470641328e-02 7.843128129878795818e-01
1.541953247070312500e+03 1.542953247070312500e+03 1.542434115927276707e+03 1.124970035101649762e-03 2.582763842840603286e-02 3.016829904483116827e-03 5.972029228312489431e+04 6.975704115075563095e+03 -1.890866117001316945e-04 1.939543020618100536e-05 1.542452816602830126e+03 1.124970035101649762e-03 4.958320843517670211e-03 3.016829904483116827e-03 3.110837046012012870e+05 1.479775704783661422e+04 -3.484966165510940388e-04 1.939543020618100536e-05 -2.057248213664711045e+01 1.340439143370011563e-02 8.538921246280267718e-01
