StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.521256103515625000e+03 1.522256103515625000e+03 1.521753515787156175e+03 1.926588535802559133e-04 1.274412625182042708e-02 5.434215323447057384e-04 1.194082266385098192e+05 5.091679116524752317e+03 -1.734916097769503244e-04 5.145088080287453382e-06 nan nan nan nan nan nan nan nan -9.546460195207704391e-01 7.102120775002860242e-04 7.043284165391027196e-01
1.522894897460937500e+03 1.523894897460937500e+03 1.523388057083334616e+03 2.536117637509979869e-04 4.611487444989441180e-03 7.785573860269686709e-04 3.303463525068369345e+05 5.577237187772076868e+04 -3.459331049685289823e-05 5.212669165319620192e-06 1.523394303503706851e+03 2.536117637509979869e-04 3.646623286684830267e-03 7.785573860269686709e-04 4.177547785279007512e+05 2.088167681784074375e+04 -1.617831735909726570e-04 5.212669165319620192e-06 6.928100497032724903e+00 -4.467710814272957826e-03 8.601892348594106785e-01
1.524763427734375000e+03 1.525763427734375000e+03 1.525270596220328798e+03 5.584925410722325965e-05 2.514662353934836708e-03 1.655216196306502456e-04 6.065508531726537040e+05 3.992475548393544886e+04 -6.780984167721567691e-05 3.044902721361093407e-06 1.525263925486143080e+03 5.584925410722325965e-05 3.094186204725910775e-03 1.655216196306502456e-04 4.929450991528979503e+05 2.623598526342928744e+04 -9.827012504998292085e-05 3.044902721361093407e-06 -9.875011252984087662e+00 6.554444518160212202e-03 8.513283211209877743e-01
1.525945800781250000e+03 1.526945800781250000e+03 1.526574791591156782e+03 1.203391764306554947e-03 2.118501887935725359e-02 3.531131946626714802e-03 7.205916597405800712e+04 1.201086600253426695e+04 -5.260247683617401632e-05 6.415468864362848959e-06 1.526445251671110782e+03 1.203391764306554947e-03 4.260489509145022266e-03 3.531131946626714802e-03 3.582793123641399434e+05 8.610343821054486034e+04 -1.597841861212631839e-05 6.415468864362848959e-06 1.767728397967295750e+00 -1.074795210620875258e-03 2.136009285396071045e-01
1.526587890625000000e+03 1.527587890625000000e+03 1.527087485828091303e+03 4.647446666732388655e-05 3.200800371626247309e-03 1.309357404936926418e-04 4.770955100371398730e+05 1.951663541616226939e+04 -1.430531772516654943e-04 3.436645213264295301e-06 nan nan nan nan nan nan nan nan 2.647472642376733187e+00 -1.651114772557220420e-03 8.007731066794196995e-01
1.528412475585937500e+03 1.529412475585937500e+03 1.528912219695239401e+03 3.900765789728793205e-05 2.660130897459207777e-03 1.301536070984876507e-04 5.747507467228630558e+05 2.812112852791944169e+04 -1.473429386424320768e-04 3.749675796311750205e-06 nan nan nan nan nan nan nan nan 3.735236929726283517e+00 -2.360526576027095324e-03 8.247373828636572757e-01
1.530255004882812500e+03 1.531255004882812500e+03 1.530748814726481896e+03 8.634377606147567190e-05 3.210782381717325849e-03 2.552063759484687628e-04 4.767525894756350317e+05 3.789428435790740332e+04 -8.073286043350462319e-05 4.545316773375660052e-06 1.530755180518155157e+03 8.634377606147567190e-05 2.815888561898564034e-03 2.552063759484687628e-04 5.436135510583096184e+05 3.972204085034102172e+04 -9.560962186579495504e-05 4.545316773375660052e-06 2.510474055936638971e-01 -8.819641729917695105e-05 7.493169111430908469e-01
1.532085449218750000e+03 1.533085449218750000e+03 1.532584947123333450e+03 3.562257487584298636e-05 2.340708290865860849e-03 1.018837267877045500e-04 6.547526460703946650e+05 2.849933926670365327e+04 -2.058347040979843518e-04 5.360757220403295913e-06 nan nan nan nan nan nan nan nan -3.353296705769848618e+00 2.271524017126894980e-03 8.345978216405408601e-01
1.533929077148437500e+03 1.534929077148437500e+03 1.534429015332796553e+03 4.070726422086992326e-05 2.639206606670293272e-03 1.693980260050523528e-04 5.813978380679641850e+05 3.731714138764670497e+04 -1.523033735732985791e-04 4.634183373578279732e-06 nan nan nan nan nan nan nan nan 3.146968039939505690e+00 -1.973474212529440028e-03 8.044842417388196054e-01
1.535769531250000000e+03 1.536769531250000000e+03 1.536268864388996235e+03 4.235584527103100887e-05 2.765398198186173277e-03 1.326413866539784942e-04 5.555326048149724957e+05 2.664593297359413191e+04 -1.389431391408561865e-04 3.598389929475592407e-06 nan nan nan nan nan nan nan nan 4.679463619169718314e+00 -2.967791754097342301e-03 8.112048219073284550e-01
