structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,0,69,1520.80780934,1520.80780934,1520.80780934,2.22017457881e-05,197.127116365,0,4.44034915762e-05,,
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,69,1,1520.80780934,1521.42578959,1521.11679946,0.0145675737169,197.087073199,0.617980255265,0.0291351474337,37.4412660906,1.76519700814
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,1,70,1521.42578959,1521.42578959,1521.42578959,0.0206016483582,197.047046298,0,0.0412032967164,,
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,70,2,1521.42578959,1522.39347458,1521.90963209,0.0145676539908,196.984401491,0.967684989666,0.0291353079817,23.9355673899,0.720658350639
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,2,71,1522.39347458,1522.39347458,1522.39347458,7.19063178371e-05,196.921796504,0,0.000143812635674,,
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,71,3,1522.39347458,1524.17828511,1523.28587985,8.16701692854e-05,196.80643139,1.78481052995,0.000163340338571,13.0008190382,0.00118979555836
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,3,72,1524.17828511,1524.17828511,1524.17828511,9.03853669425e-05,196.69120137,0,0.000180770733885,,
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,72,4,1524.17828511,1524.67348913,1524.42588712,0.00180509618007,196.659254171,0.495204017986,0.00361019236014,46.9276136889,0.342117016835
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,4,73,1524.67348913,1524.67348913,1524.67348913,0.0025511908835,196.627317349,0,0.00510238176699,,
mple 86  Diameter 100 um Coupling Distance 0.14 um,5040,73,10,1524.67348913,1533.38738937,1529.03043925,0.00180410350262,196.067030652,8.71390023878,0.00360820700524,2.68299386048,0.00111097834306
