StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.536579467773437500e+03 1.537579467773437500e+03 1.537080175789299801e+03 8.648273070174980189e-05 3.855533603305043040e-03 2.363399913708535884e-04 3.986685979008671711e+05 2.443794885019092544e+04 -1.327882784568658043e-04 5.205186699234411155e-06 nan nan nan nan nan nan nan nan -3.317176526936466807e+00 2.245118393836357563e-03 5.905562650324414076e-01
1.537494262695312500e+03 1.538494262695312500e+03 1.537948658485786609e+03 3.638104913761346180e-03 3.739852379906161151e-02 1.124802265484881915e-02 4.112324504435055132e+04 1.236827406341819369e+04 -5.578134970076237302e-05 1.536581497144523748e-05 1.537984316966139659e+03 3.638104913761346180e-03 1.942313299143544336e-02 1.124802265484881915e-02 7.918312239556347777e+04 1.670775101864507815e+04 -5.534434914776539100e-05 1.536581497144523748e-05 -2.524976621284099831e+00 1.728353677297298071e-03 2.969638092125819195e-01
1.538508789062500000e+03 1.539508789062500000e+03 1.539012541637723189e+03 6.347808197568629131e-04 2.326412730873495330e-02 1.845024510139146867e-03 6.615389097616706567e+04 5.246513169136751458e+03 -1.155616736790336603e-04 6.649505085180934022e-06 1.538914894953972407e+03 6.347808197568629131e-04 6.311831900267766970e-03 1.845024510139146867e-03 2.438143029266490776e+05 3.932628284170970437e+04 -2.899027357641175028e-05 6.649505085180934022e-06 -1.508463377154569907e+00 1.066362452061416681e-03 4.578801335657675109e-01
1.539161010742187500e+03 1.540161010742187500e+03 1.539680888745299399e+03 8.135897684980388390e-04 1.159476533883416378e-02 2.916403374499510967e-03 1.327910348981769057e+05 3.340060889236759976e+04 -3.476277136227937217e-05 8.649488417183334946e-06 1.539658333902177901e+03 8.135897684980388390e-04 2.631884859420966297e-02 2.916403374499510967e-03 5.850021623821772664e+04 1.323830870513998525e+04 -5.907176526332656832e-05 8.649488417183334946e-06 -3.750986924031458170e+00 2.523333147704430283e-03 3.695769575382757965e-01
1.540300415039062500e+03 1.541300415039062500e+03 1.540800156127749915e+03 5.906069949407268416e-05 3.104007779499071400e-03 1.665361190417246175e-04 4.963905587815266917e+05 2.663232925330828584e+04 -1.350938644073562157e-04 4.334891568240599395e-06 nan nan nan nan nan nan nan nan 1.106100553775954332e+01 -7.092853094904376550e-03 7.530168472448537376e-01
1.540859619140625000e+03 1.541859619140625000e+03 1.541373766357352224e+03 1.306333080467754872e-03 2.967540531173336674e-02 4.992522175702618359e-03 5.194111925904876989e+04 8.738454858858296575e+03 -7.679287074195082505e-05 1.368770399506706683e-05 1.541314834646755571e+03 1.306333080467754872e-03 8.184774417116755241e-02 4.992522175702618359e-03 1.883148827441616231e+04 4.975497314209357683e+03 -8.734403983677158621e-05 1.368770399506706683e-05 4.755427504830345597e+00 -3.000969872255121896e-03 4.793598189121427433e-01
1.542158935546875000e+03 1.543158935546875000e+03 1.542659101627468772e+03 6.120599387131839557e-05 3.843321747036664536e-03 1.685794303316058801e-04 4.013869259884142666e+05 1.760601473917231488e+04 -1.495068155969630824e-04 4.046143062611422934e-06 nan nan nan nan nan nan nan nan -3.007272357920147687e+00 2.033170745503264099e-03 7.532793934595363172e-01
1.544021362304687500e+03 1.545021362304687500e+03 1.544521204550188486e+03 3.958873728183839251e-05 3.395384638265853787e-03 1.176643714084702803e-04 4.548884350666767568e+05 1.576379923791333204e+04 -1.803669552528617030e-04 3.511764583160312364e-06 nan nan nan nan nan nan nan nan -3.624262504053302969e+00 2.435915987156149660e-03 8.679934977726275758e-01
1.545894897460937500e+03 1.546894897460937500e+03 1.546393791942836060e+03 4.625455018263739909e-05 2.679398243475661009e-03 1.301789516779171079e-04 5.771421981440449599e+05 2.804053727602483559e+04 -2.124781847142087935e-04 6.191429183269666711e-06 1.546533991996755049e+03 4.625455018263739909e-05 2.794710730514492897e-02 1.301789516779171079e-04 5.533789150736346346e+04 8.884540657268442374e+03 -8.432363357543683745e-05 6.191429183269666711e-06 7.567219659998153602e+00 -4.806324342798354646e-03 8.211935879590438470e-01
1.547758300781250000e+03 1.548758300781250000e+03 1.548188240521479202e+03 1.874893999691279716e-03 4.829323507333176807e-02 5.968551369678352057e-03 3.205807683354829715e+04 3.962051374540763391e+03 -1.713942757921351476e-04 1.610888408262545559e-05 1.548256370647733775e+03 1.874893999691279716e-03 1.091896898116822244e-02 5.968551369678352057e-03 1.417951066000817227e+05 6.893640310428376324e+03 -2.194420802237110333e-04 1.610888408262545559e-05 -9.404307983721400532e+00 6.160438411515862037e-03 7.596979742019691617e-01
