StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.519535400390625000e+03 1.520535400390625000e+03 1.520241069694444377e+03 9.363686066004975111e-04 6.511263720093609514e-03 2.614375028740908470e-03 2.334786510033398808e+05 9.374535899141679693e+04 -6.578815839778519141e-05 1.822814184313584150e-05 nan nan nan nan nan nan nan nan 3.928471285055867668e+01 -2.579149229260685808e-02 2.299513051811279407e-01
1.519741210937500000e+03 1.520741210937500000e+03 1.520374259042925132e+03 1.019843551726492062e-03 6.239211285803993902e-03 2.825017248856876492e-03 2.436805213668938086e+05 1.103347273459034041e+05 -5.680939675119651673e-05 1.780355725878741608e-05 1.520240900138351208e+03 1.019843551726492062e-03 9.203730809320825879e-03 2.825017248856876492e-03 1.651765932352963719e+05 6.076173712172879459e+04 -8.442603223653213646e-05 1.780355725878741608e-05 1.877144443181590816e+01 -1.229747541514670563e-02 1.404177376140852695e-01
1.519940917968750000e+03 1.520940917968750000e+03 1.520261910397480733e+03 1.122196143642276243e-03 8.048499109176746394e-03 3.185095865611202708e-03 1.888876285845775856e+05 7.474998713548063824e+04 -7.202609215667000867e-05 1.973985551427415733e-05 1.520374246946222229e+03 1.122196143642276243e-03 6.750281136671545078e-03 3.185095865611202708e-03 2.252312483233689854e+05 9.421470098048256477e+04 -6.241863034655956057e-05 1.973985551427415733e-05 1.070437661170770305e+01 -6.991172347158795125e-03 8.996585246461075158e-02
1.520216552734375000e+03 1.521216552734375000e+03 1.520718398716350293e+03 7.834732928284840340e-04 2.652316574534564503e-03 2.066274433401610062e-03 5.733547847632818157e+05 4.466692793762777583e+05 -2.052383417280641834e-05 1.127678826507560729e-05 nan nan nan nan nan nan nan nan 2.397685992372762254e+00 -1.529558549530408680e-03 9.898356909700645190e-03
1.520516113281250000e+03 1.521516113281250000e+03 1.521255483487802394e+03 3.927544033992595132e-04 4.207532732911664457e-03 1.704963999486551777e-03 3.615552343986341148e+05 1.465083452955420944e+05 -1.572012539505015930e-04 3.131514782707515998e-05 1.521100626220262484e+03 3.927544033992595132e-04 5.716751922034735145e-02 1.704963999486551777e-03 2.660777740516094855e+04 6.267617353507377629e+03 -3.217183018830000688e-04 3.131514782707515998e-05 5.476730016222933095e+00 -3.553090756132107082e-03 2.000447422845577083e-01
1.520755859375000000e+03 1.521755859375000000e+03 1.521255517500877204e+03 3.788939307885131518e-04 4.739023133430173354e-03 1.486426694340329917e-03 3.210061387482129503e+05 1.006857489925862174e+05 -1.669332887982026602e-04 2.592255677482952213e-05 1.521101880964700058e+03 3.788939307885131518e-04 6.688556058992349562e-02 1.486426694340329917e-03 2.274185739864843708e+04 4.697390932330551550e+03 -3.818987383596571966e-04 2.592255677482952213e-05 9.167813453459675577e-01 -5.549159031440777622e-04 2.105953226401563461e-01
1.521027465820312500e+03 1.522027465820312500e+03 1.521255454402268242e+03 3.851430269710791874e-04 3.754369966959820396e-03 1.689176432885589486e-03 4.051959364127709414e+05 1.823068670677159098e+05 -1.462801144189348731e-04 3.335586212610318840e-05 nan nan nan nan nan nan nan nan 1.672184009889231548e+00 -1.053203363255348930e-03 1.079510857500629584e-01
1.521350952148437500e+03 1.522350952148437500e+03 1.521859908053293339e+03 4.433376717579560382e-04 4.841798109538567908e-03 1.204589189998442160e-03 3.143170932830012753e+05 7.819883527460385812e+04 -7.370220190359009940e-05 1.208566977205194282e-05 1.521898800537231864e+03 4.433376717579560382e-04 4.521675991560327075e-03 1.204589189998442160e-03 3.365784729772420833e+05 2.356975432401923899e+04 -3.138582047536664170e-04 1.208566977205194282e-05 7.034243104901430677e+00 -4.575871321983419546e-03 1.952296072844786901e-01
1.521922241210937500e+03 1.522922241210937500e+03 1.522636596054087477e+03 4.440067422797420137e-03 7.712122593433061446e-02 1.542121473689349147e-02 1.974341794502366611e+04 3.947907779138235128e+03 -3.613227079984831580e-04 5.993079348266294092e-05 1.522721124675509145e+03 4.440067422797420137e-03 1.073388296020205170e-02 1.542121473689349147e-02 1.418611634132114414e+05 1.979597726634562059e+04 -2.273639975016916639e-04 5.993079348266294092e-05 -1.363141993989698086e+01 9.000442514808472752e-03 3.231297971553542814e-01
1.522221801757812500e+03 1.523221801757812500e+03 1.522720954767354215e+03 7.170312436293613950e-04 1.128227265887854491e-02 2.006444283954760769e-03 1.349657999595546280e+05 2.400237665290539735e+04 -2.324474206446565773e-04 2.580631984473918800e-05 nan nan nan nan nan nan nan nan -1.029499189566208095e+01 6.808204277847533167e-03 1.996024398609616002e-01
