StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.520133666992187500e+03 1.521133666992187500e+03 1.520633424289291497e+03 5.837072451735880561e-05 4.658974561005660084e-03 1.893826003181500728e-04 3.263880075707166106e+05 1.326734215373940606e+04 -2.546518762120894282e-04 5.483844470375698576e-06 nan nan nan nan nan nan nan nan -1.572648026236360463e+00 1.118790674197378630e-03 8.569024428256236670e-01
1.521774414062500000e+03 1.522774414062500000e+03 1.522274709647583222e+03 1.272656523783105207e-04 6.548438212067493949e-03 3.505673878253959632e-04 2.324637814925592393e+05 1.244483310414100561e+04 -1.101516231793007750e-04 4.068971700487833980e-06 nan nan nan nan nan nan nan nan -9.971773300210676760e-01 7.429149925906764363e-04 6.047353954677805454e-01
1.523546020507812500e+03 1.524546020507812500e+03 1.524045286861603472e+03 6.303924122665752259e-05 3.637454222478043401e-03 1.954362321586066060e-04 4.189867950622168719e+05 2.251167864743856262e+04 -1.828230906040726193e-04 5.347104255175123102e-06 nan nan nan nan nan nan nan nan 9.255109506062051850e+00 -5.992579435817034852e-03 7.884767835460239072e-01
1.524794311523437500e+03 1.525794311523437500e+03 1.525013599528331497e+03 1.953664487952441395e-02 2.347331156381223319e-02 5.946980529769352319e-02 6.496797843723838014e+04 1.645968451359502214e+05 -5.554983850840527561e-06 1.069315825339023955e-05 nan nan nan nan nan nan nan nan -1.371774331569174166e+01 9.076676547414938567e-03 5.610917897354974482e-01
1.525436523437500000e+03 1.526436523437500000e+03 1.525936166776993559e+03 3.730739895817973897e-05 2.661475380713305451e-03 1.041827458143988863e-04 5.733422062946249498e+05 2.244332815397386003e+04 -1.128145491123285046e-04 2.702403657328610862e-06 1.525926900173003787e+03 3.730739895817973897e-05 2.224145083316495051e-03 1.041827458143988863e-04 6.860734542989635374e+05 4.269097016994499427e+04 -5.465388262769739025e-05 2.702403657328610862e-06 -7.143876898399510011e+00 4.767834380613931305e-03 8.727540175925868615e-01
1.527241088867187500e+03 1.528241088867187500e+03 1.527740952756784282e+03 6.253351380190567705e-05 3.700100512810416964e-03 1.780339698758208987e-04 4.128917437424926320e+05 1.986669173254945053e+04 -1.571250328479641871e-04 5.641371642560639399e-06 1.527745318042815825e+03 6.253351380190567705e-05 2.289792505465311663e-03 1.780339698758208987e-04 6.671981476034924854e+05 5.423849013544650370e+04 -7.496085997425574793e-05 5.641371642560639399e-06 -2.285058775450168334e+00 1.581374271673126244e-03 9.002217021084562010e-01
1.529089599609375000e+03 1.530089599609375000e+03 1.529589492782183015e+03 2.473892847955838571e-04 2.099336496436087982e-02 7.072237525512797439e-04 7.286061550298731891e+04 2.454525894123673879e+03 -2.747387158989054892e-04 6.542850629007248927e-06 nan nan nan nan nan nan nan nan 1.314485575485285906e+01 -8.507559221998717627e-03 8.626625673359326063e-01
1.530925048828125000e+03 1.531925048828125000e+03 1.531938254870316314e+03 8.046800680685209373e-02 9.792553819003846360e-01 3.289569173005452152e-01 1.564390947637552699e+03 5.255189191610269290e+02 -1.666080522281602333e-02 1.513113277776985052e-02 nan nan nan nan nan nan nan nan -3.117877577444082959e+01 2.029060159153718915e-02 3.307759883209419050e-01
1.532752563476562500e+03 1.533752563476562500e+03 1.533262059526231724e+03 5.420159193894092970e-05 1.827975396427279804e-03 2.252242095767897304e-04 8.387760921306402888e+05 1.033453090951134654e+05 -2.349361158501927829e-05 1.630229743046831473e-06 1.533252068715039059e+03 5.420159193894092970e-05 2.671771826203261924e-03 2.252242095767897304e-04 5.738708873556304025e+05 2.194875774808760980e+04 -2.294366059443990577e-04 1.630229743046831473e-06 7.742187667926218708e+00 -4.960287469947022992e-03 9.317241168467048640e-01
1.534602050781250000e+03 1.535602050781250000e+03 1.535102075983297709e+03 3.880539126178641661e-05 3.742876438600123250e-03 1.376685813117649163e-04 4.101396616120843100e+05 1.508554884995194152e+04 -2.134264519146793291e-04 3.979837793830821348e-06 nan nan nan nan nan nan nan nan -3.766254339726284428e+00 2.535094900314156449e-03 9.009633872716846792e-01
