status	reason	candidate_idx	candidate_wl	fit_center_wl	min_rr	baseline	depth	depth_fraction	noise	depth_sigma	edge_distance_nm	duplicates_merged	merged_candidate_wavelengths
selected	accepted	1943	1521.9409	1521.9429	0.0034690838	0.0094920508	0.006022967	0.63452747	0.00028437247	21.179853	0.49731445	0	
selected	accepted	3601	1523.5967	1523.5967	0.00066502923	0.0093033197	0.0086382904	0.928517	0.00035726691	24.178815	0.49926758	0	
selected	accepted	5469	1525.4622	1525.4601	0.0020094667	0.0099207732	0.0079113065	0.79744858	0.00037243163	21.242306	0.49731445	0	
selected	accepted	6999	1526.9901	1527.3206	-0.0014328068	0.0098454767	0.011278283	1.1455294	0.00036724829	30.710241	0.16882324	1	1526.990112,1527.321655
selected	accepted	8468	1528.457	1528.4551	0.0073066543	0.010737787	0.0034311325	0.31953815	0.00036409245	9.4237946	0.49731445	0	
selected	accepted	9145	1529.1332	1529.1361	0.00093138876	0.009411229	0.0084798403	0.90103431	0.00036355145	23.325007	0.49633789	0	
selected	accepted	10986	1530.9717	1530.9717	0.0005708772	0.0085358863	0.0079650091	0.93312034	0.00035364493	22.522616	0.49926758	0	
selected	accepted	12827	1532.8102	1532.8112	0.002582932	0.0096873886	0.0071044565	0.73337169	0.0003705716	19.171617	0.49841309	0	
selected	accepted	13886	1533.8678	1533.8678	0.0075632911	0.0099463311	0.00238304	0.23958985	0.00036985325	6.443204	0.49926758	0	
selected	accepted	14675	1534.6558	1534.6508	0.00014254458	0.010968621	0.010826076	0.98700433	0.00037836356	28.612893	0.49438477	0	
selected	accepted	15713	1535.6923	1535.954	0.0056372347	0.010063648	0.004426413	0.43984181	0.00031502898	14.050812	0.2376709	1	1535.692261,1535.953003
selected	accepted	16520	1536.4982	1536.4933	0.00032818089	0.0090060151	0.0086778342	0.96355981	0.00036384024	23.850672	0.49438477	0	
selected	accepted	17524	1537.5009	1537.2542	0.0067516349	0.0094589365	0.0027073016	0.28621628	0.00036783551	7.3600877	0.25256348	1	1537.238281,1537.500854
selected	accepted	18375	1538.3507	1538.3517	-0.00048911881	0.01118189	0.011671009	1.0437421	0.00035827895	32.575201	0.49841309	0	
selected	accepted	19075	1539.0498	1539.1377	0.0086193687	0.011415444	0.0027960753	0.24493794	0.0003623379	7.7167618	0.41137695	0	
selected	accepted	20473	1540.4459	1540.2032	-0.00093405195	0.0088414071	0.0097754591	1.1056452	0.00029497859	33.139555	0.25671387	1	1540.201172,1540.445923
selected	accepted	22112	1542.0826	1542.0837	-0.00065961099	0.0095087304	0.010168341	1.069369	0.00035665787	28.510071	0.49829102	0	
selected	accepted	24204	1544.1719	1543.9392	0.00023257636	0.0097866825	0.0095541062	0.97623542	0.00031116316	30.70449	0.26672363	1	1543.938232,1544.171875
selected	accepted	25830	1545.7957	1545.7927	-0.001270721	0.010670197	0.011940918	1.1190907	0.00037314246	32.000964	0.49633789	0	
selected	accepted	27735	1547.6981	1547.6981	0.0022694037	0.0086612022	0.0063917986	0.73798052	0.00036366855	17.57589	0.49926758	0	
selected	accepted	29595	1549.5555	1549.5566	5.0321015e-05	0.0098999571	0.0098496361	0.99491705	0.00029247572	33.676765	0.49829102	0	
selected	accepted	31481	1551.4391	1551.4351	0.00058938168	0.0094555638	0.0088661821	0.93766827	0.00030119049	29.437125	0.49536133	1	1551.101562,1551.439087
selected	accepted	33371	1553.3265	1553.3256	0.00058420779	0.0086373519	0.0080531441	0.93236263	0.00036326011	22.169085	0.49841309	0	
selected	accepted	35258	1555.2109	1555.21	-0.0015488058	0.0094386851	0.010987491	1.1640913	0.00039894271	27.541525	0.49829102	0	
selected	accepted	37148	1557.0984	1557.0964	-0.00023050118	0.0087283171	0.0089588183	1.0264084	0.00038605856	23.205853	0.49731445	0	
selected	accepted	39088	1559.0358	1559.0348	-0.0016120311	0.0088201692	0.0104322	1.1827665	0.00039129312	26.660832	0.49829102	0	
selected	accepted	40962	1560.9072	1560.9053	0.0042669637	0.0082622111	0.0039952474	0.48355668	0.00038331576	10.422862	0.49731445	0	
selected	accepted	42871	1562.8137	1562.8187	0.0027910113	0.0099137589	0.0071227476	0.71847093	0.00039323625	18.113151	0.4942627	0	
selected	accepted	44795	1564.7351	1564.7311	0.0038678469	0.0083137064	0.0044458595	0.53476263	0.00040807657	10.89467	0.49523926	0	
selected	accepted	46702	1566.6395	1566.6405	-0.0010312428	0.0091816269	0.01021287	1.1123159	0.00031988326	31.926865	0.49841309	0	
selected	accepted	48625	1568.5599	1568.5619	-0.0019480732	0.0094182402	0.011366313	1.2068405	0.00041583874	27.333464	0.49743652	0	
selected	accepted	50563	1570.4954	1570.4954	-0.00066811126	0.0093722321	0.010040343	1.0712862	0.00033614477	29.869105	0.49926758	0	
