structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,30,88,1568.35483638,1568.35483638,1568.35483638,8.86250642144e-05,191.150912437,0,0.000177250128429,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,88,32,1568.35483638,1570.85875589,1569.60679614,0.000488528435741,190.998445431,2.50391950702,0.000977056871482,9.83923599609,0.00383938275393
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,32,90,1570.85875589,1570.85875589,1570.85875589,0.000685175643939,190.846221454,0,0.00137035128788,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,90,33,1570.85875589,1572.20547898,1571.53211744,0.000489254660244,190.764448702,1.34672309497,0.000978509320489,18.3386859954,0.0133246261447
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,33,91,1572.20547898,1572.20547898,1572.20547898,9.63046317373e-05,190.682745994,0,0.000192609263475,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,91,34,1572.20547898,1574.13069686,1573.16808792,0.000107262738808,190.566068751,1.92521787198,0.000214525477617,12.8549494001,0.00143241773566
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,34,92,1574.13069686,1574.13069686,1574.13069686,0.000117200717486,190.449534209,0,0.000234401434972,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,92,36,1574.13069686,1578.01593302,1576.07331494,0.000125588628147,190.214792141,3.88523616112,0.000251177256293,6.3934520092,0.000413332561195
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,36,94,1578.01593302,1578.01593302,1578.01593302,0.000133450361035,189.980628033,0,0.00026690072207,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,94,37,1578.01593302,1579.96339914,1578.98966608,0.000114657184617,189.863470573,1.94746612367,0.000229314369235,12.8023195643,0.0015074758081
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,37,95,1579.96339914,1579.96339914,1579.96339914,9.2106140449e-05,189.746457521,0,0.000184212280898,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,95,38,1579.96339914,1581.91617104,1580.93978509,0.000110827938441,189.629270405,1.95277189542,0.000221655876882,12.7990914348,0.00145280460363
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,38,96,1581.91617104,1581.91617104,1581.91617104,0.000126815309682,189.512227948,0,0.000253630619364,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,96,40,1581.91617104,1585.83005283,1583.87311193,0.000191212699308,189.278077733,3.9138817956,0.000382425398617,6.40963157734,0.000626287027251
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,40,98,1585.83005283,1585.83005283,1585.83005283,0.000238835654758,189.044505409,0,0.000477671309516,,
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,98,41,1585.83005283,1587.81188008,1586.82096646,0.000199416802882,188.926453795,1.98182725278,0.000398833605764,12.7054503669,0.0025569153556
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,41,99,1587.81188008,1587.81188008,1587.81188008,0.000149972172617,188.808549527,0,0.000299944345235,,
