StartWavelength[nm] EndWavelength[nm] w_r[nm] sigma(w_r)[nm] width[nm] sigma(width)[nm] Q_L[-] sigma(Q_L)[nm] Amplitude[-] sigma(Amp)[-] w_r1[nm] sigma1(w_r)[nm] width1[nm] sigma1(width)[nm] Q_L1[-] sigma1(Q_L)[nm] Amplitude1[-] sigma1(Amp)[-] b[-] c[-] R2
1.545858886718750000e+03 1.546858886718750000e+03 1.546360224023855608e+03 5.362366577305667818e-04 4.999340574760605983e-03 1.567813307891415637e-03 3.093128385432919604e+05 9.700174999447003938e+04 -2.117297419502662994e-05 4.616100293242938207e-06 1.546381072354123262e+03 5.362366577305667818e-04 4.913495296599227312e-03 1.567813307891415637e-03 3.147211870589188184e+05 9.948539410477627825e+04 -2.047370164849926939e-05 4.616100293242938207e-06 3.002420308160822948e+00 -1.871949756886379015e-03 1.217650652528808886e-01
1.546966430664062500e+03 1.547966430664062500e+03 1.547465411047857060e+03 7.272253696647439016e-05 4.714441219183899967e-03 3.131774165758356081e-04 3.282394114388243761e+05 2.180474124367265176e+04 -2.750785981022415595e-04 8.965295397921374152e-06 1.547480856453213619e+03 7.272253696647439016e-05 3.553013329070618242e-03 3.131774165758356081e-04 4.355404027876239270e+05 2.549928978968975935e+04 -1.448006505972410888e-04 8.965295397921374152e-06 1.763353562318917156e+00 -1.069176918840011479e-03 8.913411881411749116e-01
1.548846923828125000e+03 1.549846923828125000e+03 1.549346306643354183e+03 1.263468345398670073e-04 5.707705630687940658e-03 4.903852771123565820e-04 2.714481802132836892e+05 2.332183887688544928e+04 -2.891379469487155335e-04 1.184587845840638857e-05 1.549354360833127203e+03 1.263468345398670073e-04 3.068422570716481789e-03 4.903852771123565820e-04 5.049351336479546153e+05 5.524544093491284730e+04 -1.065128162377159933e-04 1.184587845840638857e-05 -1.558851274673744181e+00 1.074189573059106811e-03 8.403605981801675062e-01
1.550733276367187500e+03 1.551733276367187500e+03 1.551231901456806099e+03 8.276144029575467870e-05 6.969704197840104719e-03 2.805137576093796122e-04 2.225678246054587653e+05 8.957817294803611730e+03 -3.477010621800107710e-04 7.265267154721882763e-06 nan nan nan nan nan nan nan nan 4.129401637198069963e+00 -2.589252977432521426e-03 8.740642087561045770e-01
1.552614746093750000e+03 1.553614746093750000e+03 1.553113766166573214e+03 9.849169953247564934e-05 5.814949261348429689e-03 3.382444122426766500e-04 2.670898225183174363e+05 1.553610117189800803e+04 -3.412505466590970860e-04 1.111362828693019644e-05 nan nan nan nan nan nan nan nan 2.624511645402257010e+00 -1.624853187476837111e-03 8.195854397957940130e-01
1.554498291015625000e+03 1.555498291015625000e+03 1.554998942752143194e+03 8.567415059224091389e-05 5.250759105441574551e-03 3.499839819485904189e-04 2.961474544015235151e+05 1.973940591332894473e+04 -3.015755405800287642e-04 1.044642781998980189e-05 nan nan nan nan nan nan nan nan -3.039842219597937989e-01 2.628535992349257441e-04 8.265314848733974484e-01
1.556380737304687500e+03 1.557380737304687500e+03 1.556880421947792229e+03 9.852698051792737482e-05 6.522676720183996461e-03 3.307345575607834130e-04 2.386873501073765510e+05 1.210272385398146980e+04 -2.946413738604790333e-04 7.785006174778701693e-06 1.557018386291053730e+03 9.852698051792737482e-05 1.897975562927059837e-02 3.307345575607834130e-04 8.203574464835671824e+04 5.661693666342674987e+03 -1.728867539948035752e-04 7.785006174778701693e-06 -9.012130325894574412e+00 5.855004454247250516e-03 8.446745591974305079e-01
1.558300170898437500e+03 1.559300170898437500e+03 1.558800756051024109e+03 1.300362178644113393e-04 8.411383830714479551e-03 4.937557421901657894e-04 1.853203690882593510e+05 1.087847115573239898e+04 -4.106480481658703833e-04 1.202924378733561105e-05 nan nan nan nan nan nan nan nan 1.694423330305643205e+01 -1.080466593333649118e-02 8.542229511784967810e-01
1.559478515625000000e+03 1.560478515625000000e+03 1.559972778553559010e+03 7.162867747013135222e-03 3.662699902183826905e-01 3.511750741045799318e-02 4.259078876823759856e+03 4.083551428849569902e+02 -1.310107340878912795e-03 1.532371108703888213e-04 nan nan nan nan nan nan nan nan 4.740943065295636361e-01 -2.429221611803017336e-04 3.584582914438670942e-01
1.560198608398437500e+03 1.561198608398437500e+03 1.560701439307375722e+03 1.493681347550071851e-04 6.984438934838403668e-03 3.857108321085189620e-04 2.234540889924016665e+05 1.234009823946350116e+04 -4.200269727467118952e-04 1.462593067164617009e-05 nan nan nan nan nan nan nan nan -1.541182654165088550e+01 9.936885992570049925e-03 8.029661138719141888e-01
1.562100952148437500e+03 1.563100952148437500e+03 1.562600190571952226e+03 1.184011909580847061e-03 5.201707454662979867e-03 8.422865890200060884e-04 3.004013978470062721e+05 4.864250266618665046e+04 -1.912513770916899345e-04 1.320029238498849808e-04 1.562604346424112919e+03 1.184011909580847061e-03 5.560251159448612729e-03 8.422865890200060884e-04 2.810312522967163823e+05 3.642660089770433842e+04 -2.393513499687420617e-04 1.320029238498849808e-04 1.622766694563038214e+01 -1.031830957657252357e-02 8.887320171298975779e-01
1.563077636718750000e+03 1.564077636718750000e+03 1.563360542983906498e+03 1.477865462037043472e-03 5.335638479120262401e-02 4.848563817094705443e-03 2.930034613667590020e+04 2.662560416532341151e+03 -2.308032312500197766e-04 1.712301244110812283e-05 nan nan nan nan nan nan nan nan -4.002277186940196962e+00 2.498715049624406458e-03 4.343726582727457375e-01
1.564010375976562500e+03 1.565010375976562500e+03 1.564511132054401287e+03 1.405618125996532949e-04 6.158146797434804580e-03 4.354744180794062574e-04 2.540555111005316139e+05 1.796557949910266325e+04 -3.543737218364878842e-04 1.460257996475397316e-05 nan nan nan nan nan nan nan nan -5.944641093616597871e+00 3.861293251804526032e-03 7.208501376438882779e-01
1.565952758789062500e+03 1.566952758789062500e+03 1.566448837233528593e+03 1.672696278032843214e-04 1.069805857391933554e-02 2.885254844861614011e-04 1.464236549472962215e+05 3.949030162091992224e+03 -8.123425643049256729e-04 1.853127181188639992e-05 1.566401386736067252e+03 1.672696278032843214e-04 5.569493957287712654e-03 2.885254844861614011e-04 2.812466264886457939e+05 1.018166134600693840e+04 -4.300242075481217974e-04 1.853127181188639992e-05 1.268384051699051263e+01 -8.037457648819681597e-03 7.761126659778080361e-01
1.567856201171875000e+03 1.568856201171875000e+03 1.568354836382259464e+03 1.253347677781866797e-04 6.689227538757286894e-03 3.406992068679286830e-04 2.344597828815411776e+05 1.194162728169150978e+04 -4.173172443257495219e-04 1.309954482443475795e-05 nan nan nan nan nan nan nan nan -1.296162183790424471e+01 8.329203537778804428e-03 8.201287080617324365e-01
1.569766601562500000e+03 1.570766601562500000e+03 1.570266407982191822e+03 1.388337566389616265e-04 4.950724626005818460e-03 6.054352292349338572e-04 3.171791054048309452e+05 3.878854488909106294e+04 -2.314002704635641835e-04 1.316784897580193929e-05 1.570276413839305860e+03 1.388337566389616265e-04 5.138597549664125803e-03 6.054352292349338572e-04 3.055846266734673409e+05 2.880819333326111882e+04 -1.471635103168048866e-04 1.316784897580193929e-05 2.489599925591733509e+01 -1.579663077841035948e-02 8.791173592876067033e-01
1.570296875000000000e+03 1.571296875000000000e+03 1.570858755889275926e+03 9.689846882668929056e-04 7.128908876166254772e-03 2.778769895228294651e-03 2.203505169130516006e+05 8.589019630252713978e+04 -2.880281923019549801e-05 7.855784179810444218e-06 nan nan nan nan nan nan nan nan 5.684466684985511442e+00 -3.564110954552336154e-03 1.051494861225716893e-01
1.571705078125000000e+03 1.572705078125000000e+03 1.572205478984245019e+03 1.361953163221945999e-04 6.869073001366210809e-03 5.716163252650988688e-04 2.288817543024428887e+05 1.904660895125744719e+04 -3.477609386390826014e-04 1.443018720306988168e-05 nan nan nan nan nan nan nan nan -1.059256044371674221e+01 6.799030451272212484e-03 7.814352638101356163e-01
1.573628417968750000e+03 1.574628417968750000e+03 1.574130696856229179e+03 1.657468441886248019e-04 8.179052093959386302e-03 4.201651807489069574e-04 1.924588178156731010e+05 9.886780649573724077e+03 -4.667475479326704227e-04 1.524360934901968587e-05 nan nan nan nan nan nan nan nan 1.563344410828138820e+01 -9.873765591823274040e-03 8.065851451881098644e-01
1.575603759765625000e+03 1.576603759765625000e+03 1.576076042413501455e+03 1.204178594165658707e-03 3.846800484796122216e-02 3.271049307773729511e-03 4.097108879555089516e+04 3.483894009541685591e+03 -4.245473631463096264e-04 3.123998910488254922e-05 1.576103857005822420e+03 1.204178594165658707e-03 6.811777733279489842e-03 3.271049307773729511e-03 2.313792256176592200e+05 1.004341958476388390e+04 -5.284277082097447965e-04 3.123998910488254922e-05 -3.474569624841775450e+00 2.268694031334409812e-03 7.623316633483808724e-01
