structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,13,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1541.87028891,9.87091896444e-05,194.434292012,1.24475136084e-05,0.00731853505101,0.000370003029354,210680.180961,10651.3536708,-0.000378543054971,13.8206489386,-0.00889267523579,0.875962395155,2.78016767795,9.86027853124e-05,379.880352909,19.2056080861
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,71,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1541.87028891,9.87091896444e-05,194.434292012,1.24475136084e-05,0.00731853505101,0.000370003029354,210680.180961,10651.3536708,-0.000378543054971,13.8206489386,-0.00889267523579,0.875962395155,0.933266681495,9.39606912599e-05,127.520969018,6.44708784896
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,14,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1543.73682228,7.79995746617e-05,194.199201362,9.81220042647e-06,0.00549066884711,0.000154089533174,281156.424702,7890.34331478,-0.00042764688369,-10.7027797306,0.00700835167375,0.881085577134,0.933266681495,8.36589879548e-05,169.973223205,4.77013437809
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,72,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1543.73682228,7.79995746617e-05,194.199201362,9.81220042647e-06,0.00549066884711,0.000154089533174,281156.424702,7890.34331478,-0.00042764688369,-10.7027797306,0.00700835167375,0.881085577134,3.74753958978,7.92168810009e-05,682.528794602,19.1544192704
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,19,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1551.23190146,8.27614402958e-05,193.260890083,1.03108694458e-05,0.00696970419784,0.000280513757609,222567.824605,8957.8172948,-0.00034770106218,4.1294016372,-0.00258925297743,0.874064208756,3.74753958978,8.1597030655e-05,537.689905253,21.6407229835
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,77,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1551.23190146,8.27614402958e-05,193.260890083,1.03108694458e-05,0.00696970419784,0.000280513757609,222567.824605,8957.8172948,-0.00034770106218,4.1294016372,-0.00258925297743,0.874064208756,0.940932354884,8.69611736298e-05,135.003197865,5.43356691927
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,20,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1553.11376617,9.84916995325e-05,193.026721243,1.22409125748e-05,0.00581494926135,0.000338244412243,267089.822518,15536.1011719,-0.000341250546659,2.6245116454,-0.00162485318748,0.819585439796,0.940932354884,9.48041410359e-05,161.81265091,9.41234474243
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,78,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1553.11376617,9.84916995325e-05,193.026721243,1.22409125748e-05,0.00581494926135,0.000338244412243,267089.822518,15536.1011719,-0.000341250546659,2.6245116454,-0.00162485318748,0.819585439796,0.942588292785,9.54488144375e-05,162.097423455,9.4289095811
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,21,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1554.99894275,8.56741505922e-05,192.792708572,1.06220982492e-05,0.00525075910544,0.000349983981949,296147.454402,19739.4059133,-0.00030157554058,-0.30398422196,0.000262853599235,0.826531484873,0.942588292785,8.90516635385e-05,179.514670899,11.965378946
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,79,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039/mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT_5039_ParamFile.txt,False,1554.99894275,8.56741505922e-05,192.792708572,1.06220982492e-05,0.00525075910544,0.000349983981949,296147.454402,19739.4059133,-0.00030157554058,-0.30398422196,0.000262853599235,0.826531484873,1.90090664944,9.8652924685e-05,362.025111278,24.1304211205
