status	reason	candidate_idx	candidate_wl	fit_center_wl	min_rr	baseline	depth	depth_fraction	noise	depth_sigma	edge_distance_nm	duplicates_merged	merged_candidate_wavelengths
selected	accepted	1926	1521.924	1521.9279	0.014200231	0.02504044	0.010840208	0.43290807	0.00031180662	34.765806	0.49536133	0	
selected	accepted	3569	1523.5647	1523.5616	0.0080155793	0.022295035	0.014279456	0.64047694	0.0003480926	41.022003	0.49633789	0	
selected	accepted	5469	1525.4622	1525.4631	0.0076280991	0.024367692	0.016739593	0.68695849	0.00038394921	43.598456	0.49829102	0	
selected	accepted	7298	1527.2887	1527.2847	0.012663244	0.022246178	0.0095829334	0.43076764	0.00038315497	25.010594	0.49536133	0	
selected	accepted	9124	1529.1122	1529.1122	0.010392025	0.024788407	0.014396383	0.58077078	0.00036371438	39.58156	0.49926758	0	
selected	accepted	10962	1530.9478	1530.9487	0.0062366271	0.020342673	0.014106046	0.69342145	0.00036266751	38.895256	0.49829102	0	
selected	accepted	12796	1532.7793	1532.7793	0.0064468833	0.024371093	0.01792421	0.73547008	0.00034375515	52.142375	0.49926758	0	
selected	accepted	14648	1534.6288	1534.6288	0.0054687481	0.019900992	0.014432243	0.72520223	0.00032434235	44.496945	0.49926758	0	
selected	accepted	16495	1536.4733	1536.4742	0.0073257548	0.021806344	0.014480589	0.66405397	0.00036850011	39.296025	0.49829102	0	
selected	accepted	18345	1538.3208	1538.3218	0.0055565975	0.020685978	0.015129381	0.73138339	0.00035838937	42.214926	0.49829102	0	
selected	accepted	20209	1540.1823	1540.1832	0.0078264328	0.021246171	0.013419739	0.63163091	0.00033980988	39.491903	0.49841309	0	
selected	accepted	22067	1542.0377	1542.0377	0.0070206584	0.018811359	0.0117907	0.62678621	0.00035662303	33.062083	0.49926758	0	
selected	accepted	23936	1543.9042	1543.9072	0.0036619407	0.018093517	0.014431576	0.79761034	0.00037361725	38.626632	0.49633789	0	
selected	accepted	24450	1544.4175	1544.6742	0.015187654	0.017104362	0.0019167075	0.11205957	0.00037348939	5.1318926	0.24267578	0	
selected	accepted	25805	1545.7708	1545.7727	0.0047102176	0.018849437	0.01413922	0.75011362	0.00039067063	36.192175	0.49731445	0	
selected	accepted	27678	1547.6412	1547.6451	0.0044501156	0.01599814	0.011548024	0.72183544	0.0003636712	31.754025	0.49536133	0	
selected	accepted	29559	1549.5197	1549.5226	0.0080218665	0.01773424	0.0097123737	0.54766224	0.00037216949	26.096642	0.49633789	0	
selected	accepted	31435	1551.3931	1551.3951	0.005445982	0.015788964	0.010342982	0.65507666	0.00035435479	29.188209	0.49731445	0	
selected	accepted	33326	1553.2816	1553.2805	0.0042108992	0.016374725	0.012163826	0.74284154	0.00038097019	31.928551	0.49829102	0	
selected	accepted	35220	1555.173	1555.176	0.002037198	0.014363475	0.012326277	0.85816817	0.00039008793	31.598714	0.49633789	0	
selected	accepted	37113	1557.0635	1557.0625	0.0049623857	0.015826844	0.010864458	0.68645766	0.00038163312	28.468331	0.49841309	0	
selected	accepted	39016	1558.9639	1558.9648	0.0025493571	0.013944379	0.011395021	0.81717671	0.0003913597	29.116491	0.49841309	0	
selected	accepted	40921	1560.8663	1560.8663	0.0012670525	0.014264632	0.012997579	0.91117524	0.00037881905	34.310785	0.49926758	0	
selected	accepted	42828	1562.7708	1562.7698	0.0012781345	0.013903606	0.012625471	0.90807172	0.00039315775	32.11299	0.49829102	0	
selected	accepted	44742	1564.6821	1564.6821	0.00072943371	0.013075133	0.012345699	0.94421214	0.00039470773	31.278078	0.49926758	0	
selected	accepted	46659	1566.5966	1566.5986	0.0025185714	0.01248121	0.0099626388	0.79821096	0.00041384916	24.073116	0.49731445	0	
selected	accepted	48594	1568.5289	1568.528	0.0061272914	0.012774352	0.0066470603	0.52034424	0.0004157744	15.98718	0.49829102	0	
selected	accepted	50504	1570.4364	1570.4354	0.0015179264	0.012247309	0.010729382	0.87606041	0.00043131003	24.876264	0.49829102	0	
selected	accepted	52433	1572.3628	1572.3668	0.006978583	0.011488853	0.00451027	0.39257792	0.00043329827	10.409158	0.49536133	0	
selected	accepted	54393	1574.3202	1574.3202	0.0059147581	0.012081633	0.0061668744	0.51043387	0.00043949681	14.031671	0.49926758	0	
selected	accepted	56322	1576.2466	1576.2466	0.0022280416	0.011309733	0.0090816919	0.80299787	0.00044244564	20.526119	0.49926758	0	
selected	accepted	58251	1578.173	1578.1759	0.0064563381	0.010723805	0.0042674665	0.39794333	0.00046223371	9.2322702	0.49633789	0	
selected	accepted	60232	1580.1512	1580.1533	0.0070806417	0.01034046	0.0032598179	0.31524884	0.0004651169	7.0085991	0.49731445	0	
selected	accepted	62187	1582.1036	1582.0677	0.0062160277	0.010186664	0.0039706364	0.38978771	0.00038299502	10.367332	0.46337891	0	
selected	accepted	64117	1584.031	1584.031	0.0047659706	0.0090725957	0.0043066251	0.47468501	0.00038902809	11.070216	0.49926758	0	
selected	accepted	66081	1585.9924	1585.9924	0.0021595006	0.0097000902	0.0075405896	0.77737314	0.00049873222	15.119516	0.49926758	0	
selected	accepted	68056	1587.9647	1587.9607	0.0015620603	0.0085788679	0.0070168075	0.81791766	0.00039638745	17.701891	0.49523926	0	
selected	accepted	70052	1589.958	1589.958	0.0021891538	0.0082929499	0.0061037961	0.73602231	0.00052776574	11.565351	0.49926758	0	
selected	accepted	72009	1591.9124	1591.9135	-0.00057497986	0.0079775901	0.0085525699	1.0720744	0.00053085363	16.110976	0.49829102	0	
selected	accepted	74000	1593.9008	1593.9017	-0.00070490476	0.0082658319	0.0089707367	1.0852793	0.00053655222	16.719224	0.49829102	0	
selected	accepted	75991	1595.889	1595.89	0.0010171208	0.0071538777	0.0061367568	0.85782244	0.00043721374	14.036057	0.49841309	0	
selected	accepted	77986	1597.8813	1597.8813	-0.00047321527	0.0073403705	0.0078135858	1.0644675	0.00043725528	17.86962	0.49926758	0	
selected	accepted	79964	1599.8567	1599.8577	0.0014863677	0.0075506878	0.0060643201	0.80314803	0.00057715718	10.507225	0.49829102	0	
selected	accepted	81986	1601.876	1601.876	0.00022830992	0.0063261245	0.0060978146	0.96390999	0.00046506064	13.11187	0.49926758	0	
selected	accepted	83987	1603.8743	1603.8743	0.00022976707	0.0067148208	0.0064850537	0.9657821	0.00048818263	13.284073	0.49926758	0	
selected	accepted	85996	1605.8806	1605.8826	-0.00098020605	0.0054106224	0.0063908284	1.1811633	0.00063583514	10.051078	0.49731445	0	
selected	accepted	88017	1607.8988	1607.8988	-0.00053014769	0.0059161842	0.0064463319	1.0896097	0.00050423748	12.784317	0.49926758	0	
selected	accepted	90037	1609.9161	1609.9152	-0.0018789164	0.0038980775	0.005776994	1.4820111	0.00067028822	8.6186715	0.49841309	0	
selected	accepted	92071	1611.9474	1611.9443	-0.0005777307	0.0048201332	0.0053978639	1.1198578	0.00053619716	10.066939	0.49633789	0	
selected	accepted	94098	1613.9717	1613.9696	-0.0014923797	0.0031774124	0.0046697921	1.469684	0.00055351522	8.4366101	0.49731445	0	
selected	accepted	96140	1616.0109	1616.0099	-0.0016737304	0.0036071489	0.0052808793	1.4640037	0.00073128249	7.2213944	0.49829102	0	
selected	accepted	98182	1618.0502	1618.0511	-0.0021127759	0.0031106591	0.005223435	1.6792052	0.00074624448	6.9996296	0.49829102	0	
rejected	minimum_at_window_edge	8606	1528.5948	1528.1335	0.022116916	0.02465317	0.002536254	0.1028774	0.00036380917	6.9713855	0.037963867		
