structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,rejection_reason,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,75,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1543.93834187,0.000184430148262,194.173853884,2.31949111497e-05,0.00919095952839,0.000589172208249,167984.456585,10768.3830978,-0.000363607003764,6.9345649217,-0.00442986994679,0.70156431031,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,18,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1545.79560757,0.000316830254967,193.940554969,3.97505563986e-05,0.0148000542654,0.00134149221434,104445.266203,9467.02687194,-0.000765587823259,26.5737759367,-0.0171259939645,0.784495001107,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,76,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1545.79560757,0.000316830254967,193.940554969,3.97505563986e-05,0.0148000542654,0.00134149221434,104445.266203,9467.02687194,-0.000765587823259,26.5737759367,-0.0171259939645,0.784495001107,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,19,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1547.70496506,0.000284402656836,193.701296286,3.55940987076e-05,0.0178102819618,0.000515142994898,86899.5206465,2513.4739258,-0.00138452157555,4.82569122134,-0.00305915240045,0.568780469757,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,77,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1547.70496506,0.000284402656836,193.701296286,3.55940987076e-05,0.0178102819618,0.000515142994898,86899.5206465,2513.4739258,-0.00138452157555,4.82569122134,-0.00305915240045,0.568780469757,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,28,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1564.73556592,0.000312793180765,191.593049029,3.82997616489e-05,0.0152607664564,0.000876263103717,102533.222718,5887.38974742,-0.000229292986236,3.38143783852,-0.00210268174021,0.58958057998,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,86,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1564.73556592,0.000312793180765,191.593049029,3.82997616489e-05,0.0152607664564,0.000876263103717,102533.222718,5887.38974742,-0.000229292986236,3.38143783852,-0.00210268174021,0.58958057998,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,29,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1566.8497716,0.00474524939896,191.334525769,0.000579462090022,0.0485953657199,0.015289586639,32242.781763,10144.5641568,-0.000168361043602,3.82945765216,-0.00250490712447,0.0662867675249,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,87,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1566.8497716,0.00474524939896,191.334525769,0.000579462090022,0.0485953657199,0.015289586639,32242.781763,10144.5641568,-0.000168361043602,3.82945765216,-0.00250490712447,0.0662867675249,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,30,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1568.41475007,0.00664771764893,191.143610442,0.00081016118508,0.0439863701429,0.020684650569,35656.8351737,16767.6753867,-9.2786038001e-05,1.03252376198,-0.000719252303774,0.0178967559395,low_R2,,,,
